ReceiptID,juices,paper_goods,frozen_foods,snack_foods,canned goods,beer_wine_spirits,dairy,breads,produce,desserts,meats
1684164,1,0,1,0,0,0,0,0,1,0,1
2294086,1,1,0,0,0,0,1,0,0,1,0
587482,1,1,1,0,1,1,1,1,1,1,1
2610745,0,1,1,0,0,0,0,0,1,1,1
1630056,0,0,0,1,0,1,0,0,0,0,0
2851976,1,0,0,0,0,0,0,0,0,1,0
1256377,0,1,0,0,0,0,0,0,0,1,0
2584882,0,0,0,1,0,0,1,0,0,0,0
597797,0,1,0,0,0,0,0,0,0,1,0
253241,0,0,0,0,0,0,0,0,1,0,1
158151,0,0,1,0,0,0,0,0,0,0,0
853767,0,1,1,0,0,0,1,0,0,1,0
617354,0,0,0,0,0,0,0,1,0,1,0
1937422,0,1,1,1,0,1,0,0,0,0,1
1995914,0,1,0,0,0,0,0,0,0,1,0
2325559,0,0,0,0,0,0,0,0,0,0,1
232644,1,0,1,0,0,1,1,0,0,0,0
3041725,0,0,1,1,0,1,0,0,0,0,1
3082546,0,0,1,0,1,1,0,0,1,1,0
106728,1,0,1,1,0,1,0,1,0,1,1
718704,1,0,0,0,0,0,0,0,0,1,1
1878068,0,0,0,0,0,0,0,1,0,1,0
2706575,0,0,0,1,0,0,1,1,0,1,0
1634783,0,1,0,1,0,0,1,1,1,1,0
2181846,0,0,0,0,0,0,1,0,0,1,1
2706673,0,0,1,1,0,0,1,0,1,0,1
864798,0,0,1,0,0,0,0,0,0,0,0
2915920,0,1,0,0,0,0,0,0,1,1,0
1739740,0,1,0,0,0,0,0,0,0,1,1
670531,0,0,1,0,0,0,1,0,0,0,0
730185,1,0,0,0,0,1,1,0,0,0,0
1486655,0,0,0,1,0,0,1,0,0,0,0
791623,0,0,0,0,1,1,1,0,1,0,0
2621987,0,1,0,0,0,1,0,0,1,0,0
2481482,0,1,0,0,0,0,0,0,0,0,0
1413133,0,1,0,0,0,0,0,1,1,0,0
2194601,0,0,0,0,0,0,0,0,1,1,1
2179414,0,0,1,1,0,1,1,0,0,0,0
337249,0,0,0,0,0,0,0,0,1,1,0
2858863,0,1,0,0,0,1,1,1,0,0,1
1904717,1,0,0,0,0,0,0,0,1,1,0
195059,0,0,1,1,0,1,0,0,1,0,1
636599,0,1,0,0,0,0,0,1,0,1,0
1762588,0,0,1,0,0,0,0,1,0,0,1
86877,0,0,0,0,0,1,0,0,0,0,0
557206,1,0,0,1,1,0,0,1,0,1,0
2513573,0,1,0,0,0,0,1,0,1,1,1
3012446,1,0,1,1,0,1,0,1,0,0,0
1794013,0,0,1,0,0,0,0,0,1,0,1
893804,0,1,1,0,0,0,0,0,0,1,0
1578556,1,0,0,0,0,0,0,1,1,0,1
437647,0,0,0,1,0,1,0,0,0,0,0
1368582,0,0,1,0,0,0,0,0,0,0,0
2758641,0,0,0,0,0,0,0,0,0,0,1
2873664,0,0,0,0,0,0,1,1,0,0,0
687987,0,0,1,1,0,1,0,0,1,0,0
584965,1,0,0,0,0,0,0,0,0,0,1
363512,1,0,1,1,1,1,0,0,0,1,1
1343909,1,0,0,0,0,0,0,0,0,1,0
2313032,1,0,1,1,0,1,1,0,1,1,0
2504718,1,1,1,0,0,1,1,0,0,1,1
328702,0,0,1,1,0,0,1,0,0,1,0
2363103,0,1,0,0,0,0,0,0,0,1,0
2162401,0,0,1,1,0,1,0,0,0,1,0
1358405,0,0,1,1,0,1,0,1,0,0,0
2030613,1,0,1,0,0,0,0,0,1,0,1
3133117,0,0,0,0,0,0,0,1,0,0,0
2935937,0,0,1,0,0,0,0,0,0,0,0
980209,1,0,0,0,0,0,0,0,1,1,1
2577038,0,1,0,0,0,0,0,0,0,1,1
1364101,0,0,1,1,0,0,0,0,0,1,0
1898714,0,0,1,1,0,1,0,0,0,0,0
1229668,1,0,0,0,0,0,0,0,1,0,0
1050647,0,0,0,1,0,0,0,1,0,1,0
1801523,1,1,0,0,0,1,1,0,0,1,1
3239956,0,0,1,1,0,1,0,0,0,0,0
233609,0,1,0,0,0,0,0,0,1,1,0
1047309,0,1,0,0,0,1,1,1,0,0,1
1530538,1,1,1,0,1,0,0,1,0,0,0
2854930,1,0,0,0,0,0,0,0,0,0,0
1099229,0,0,1,0,0,0,0,0,0,1,0
1080582,1,1,1,0,1,1,0,0,1,0,1
2421375,0,1,0,0,0,0,1,1,0,1,0
195253,1,0,0,0,0,0,0,0,0,0,0
2161916,0,0,0,0,0,0,0,1,1,0,1
1317206,0,0,1,1,0,1,0,0,0,0,0
1445912,0,0,0,1,0,0,0,0,0,0,0
2604026,0,0,0,0,0,1,0,1,1,0,0
1741994,0,1,0,0,0,1,0,0,0,0,0
