Insulation_Rating,Outdoor_Temp,Num_Occupants,Home_Age,Home_Size
8,75,5,31,4723
6,67,7,36,5357
6,71,3,50,6490
6,58,1,51,1699
5,66,6,26,5761
10,58,2,18,1193
6,52,2,34,2598
10,88,10,44,4501
9,77,2,23,4154
2,73,4,37,5292
4,64,7,41,6416
3,45,2,40,5798
9,85,6,49,3919
7,49,5,57,1789
9,84,8,46,676
7,90,5,34,624
7,69,9,38,1855
7,44,1,46,6335
4,55,7,44,1296
10,39,5,51,4261
4,55,8,41,5044
4,85,6,31,3377
3,52,4,53,3212
5,81,6,53,4399
4,88,1,27,884
10,80,4,47,1483
10,72,1,28,2790
2,74,1,21,4225
3,43,6,29,4070
4,60,2,25,4943
8,45,3,16,4896
5,89,2,50,5986
7,53,4,53,3677
5,81,9,52,617
6,65,10,25,2968
8,72,6,42,654
9,38,7,60,3781
10,75,10,18,728
3,65,10,30,1828
2,39,8,22,2225
9,60,10,45,1021
2,80,1,48,621
4,50,7,30,3367
4,40,3,52,4686
10,44,2,16,3044
3,68,6,59,2696
3,44,7,49,3857
9,46,6,43,3786
5,46,2,56,3689
8,74,9,38,5079
5,66,9,57,1545
6,87,4,34,5955
2,67,10,60,1974
2,66,6,39,580
5,80,6,56,3635
4,62,8,21,719
2,63,4,45,3999
3,45,2,56,776
5,45,7,27,2896
4,41,1,35,519
6,54,6,45,6699
7,55,3,46,2059
9,61,5,48,2155
6,79,1,29,1281
3,40,1,35,1800
10,63,6,43,2532
2,72,7,45,3590
5,45,9,41,4254
7,58,9,29,4517
3,44,4,35,622
9,41,8,48,6161
8,55,8,55,3337
8,68,8,28,6061
2,77,7,55,3369
5,67,1,48,5873
6,50,9,37,4641
9,39,3,32,5890
6,84,7,43,4980
6,49,7,56,546
6,60,7,44,1326
8,71,8,31,6895
10,38,7,52,3628
5,42,7,45,6395
2,84,2,57,763
9,52,3,52,2829
8,72,8,56,631
7,54,1,50,6107
6,57,4,53,3978
7,86,5,52,1956
4,50,4,46,1385
2,63,8,45,4339
7,78,7,47,4158
4,81,3,26,6621
9,62,7,34,790
10,60,5,37,2636
7,48,3,41,783
6,53,3,15,4814
10,85,1,44,3536
6,80,3,56,3756
9,61,5,20,761
10,82,6,48,1050
3,39,1,46,5814
3,42,5,51,1283
8,73,10,48,2885
7,44,7,46,2547
7,59,2,22,3695
10,88,1,35,1634
8,76,3,39,1256
10,57,3,42,523
9,62,1,48,1934
10,52,10,17,4852
10,89,7,46,3672
5,77,1,47,7045
4,57,9,41,3065
8,90,5,43,4535
8,64,7,45,1645
5,74,6,38,4604
7,56,10,22,4428
4,73,1,42,6327
10,65,7,17,5810
7,76,4,49,2641
4,54,8,61,3113
2,38,4,45,6491
2,49,2,31,2731
10,65,6,50,5061
9,56,8,38,6241
8,80,6,27,6755
9,80,2,22,910
8,46,3,55,3364
8,89,1,51,3438
4,80,9,56,1523
7,84,7,61,3346
9,69,10,52,5304
6,48,6,24,4082
10,41,9,57,2249
7,71,1,16,4616
7,50,1,49,1022
6,76,8,54,2536
5,61,3,51,505
9,66,5,57,3374
9,68,6,45,764
7,81,10,41,3013
8,81,8,51,1747
5,60,5,17,1634
5,79,10,29,695
9,55,3,19,2432
3,51,3,38,3174
4,87,4,22,2708
9,71,2,26,5966
10,52,3,27,6102
10,64,10,44,2830
8,65,5,44,5338
10,57,8,55,519
8,78,10,24,3430
9,61,9,35,1981
8,63,10,20,2352
9,49,7,33,4051
5,73,10,43,2757
4,40,5,47,1380
5,50,2,49,2762
10,69,2,56,1742
9,81,2,24,6025
7,50,3,23,2985
3,40,9,20,1637
4,72,10,28,6861
10,65,8,28,1847
5,49,4,49,4874
7,88,4,41,869
3,58,5,55,5876
6,43,2,15,3735
9,73,5,31,2922
6,68,4,44,3342
3,68,9,57,1478
7,79,2,45,3052
6,70,9,58,3994
2,71,8,33,2827
9,43,4,49,3766
9,87,9,27,2376
5,44,5,46,2082
4,51,4,27,1650
10,46,8,61,1577
5,46,1,36,1782
10,43,1,37,3944
3,63,3,20,5163
9,84,10,49,4360
2,47,2,50,5498
2,58,1,53,714
2,72,10,55,2226
2,65,1,36,3277
8,45,8,21,6677
2,51,8,58,6743
4,67,1,41,3693
2,64,5,29,5271
8,64,2,18,1444
5,73,3,50,4336
10,89,10,60,769
8,86,6,59,6564
5,61,1,57,5668
5,51,4,47,3408
9,74,3,52,3296
6,78,4,55,5160
9,68,6,51,725
6,84,2,60,5206
5,60,8,24,4747
8,63,10,20,530
4,44,2,16,3950
10,82,8,54,6045
7,73,7,27,6962
7,70,2,46,5375
5,52,6,57,6395
3,90,1,61,706
7,54,7,47,6964
3,64,8,29,3684
3,46,8,24,2485
3,65,2,57,6090
7,41,9,45,5543
8,45,1,39,4782
7,70,9,50,520
9,72,1,22,759
2,53,6,57,1803
6,68,6,50,572
4,57,7,18,6378
3,61,1,26,6631
6,52,2,58,674
3,46,6,46,5897
2,62,7,42,5924
5,49,8,44,685
10,60,2,27,4108
3,56,10,27,4507
7,76,8,18,3167
3,69,7,60,3138
5,58,4,57,2049
8,90,9,50,6018
8,61,2,43,581
8,69,8,59,1259
9,40,4,16,1028
5,79,3,20,5693
7,46,1,15,1143
8,77,9,16,6844
7,59,5,34,1307
4,73,7,55,1323
6,71,2,17,2492
5,72,1,22,1907
10,76,7,31,6247
4,74,10,58,741
10,73,10,34,740
7,62,9,19,1499
4,68,2,50,3107
6,68,4,54,870
4,48,5,38,2814
5,86,10,56,3450
6,44,1,21,1758
4,85,10,55,1461
3,54,4,39,3319
10,55,6,58,2960
3,52,8,46,6240
2,45,5,41,666
4,84,4,26,750
9,67,3,52,5709
3,40,8,55,2826
9,42,2,46,3186
6,44,4,43,1276
5,72,7,49,5302
5,73,3,21,6800
9,73,2,26,2566
3,46,6,36,5918
8,40,4,53,2450
2,87,3,52,860
3,55,6,35,1521
9,59,5,16,1784
4,57,10,56,1784
10,88,1,23,1385
9,50,9,59,2724
3,51,3,59,6081
9,75,1,56,6306
9,38,6,56,6696
10,48,1,57,2044
4,58,9,37,5082
5,49,7,24,2478
6,51,7,48,4934
7,66,1,48,4622
6,88,5,47,4241
3,71,3,23,1319
4,85,8,31,5837
7,58,5,55,3705
2,68,10,58,3809
7,63,4,55,3579
3,39,2,41,4532
5,75,3,19,4245
9,52,9,26,4326
3,44,6,19,2439
3,86,5,23,4445
5,47,3,38,6815
6,54,10,57,6605
7,80,10,60,5016
2,63,9,59,3297
7,56,2,61,1793
