"salary","age","elevel","car","zipcode","credit","brand",,,
119806.5448,45,0,14,4,442037.7113,0,,,
106880.4784,63,1,11,6,45007.17883,1,,"Summary",
78020.75094,23,0,15,2,48795.32279,0,,"Acer (5639)","Sony (9259)"
63689.93635,51,3,6,5,40888.87736,1,,5639,9259
50873.6188,20,3,14,4,352951.4977,0,,,
130812.7428,56,3,14,3,135943.022,1,,,
136459.3392,24,4,8,5,80500.56351,1,,,
103866.8996,62,3,3,0,359803.8935,1,,,
72298.80402,29,4,17,0,276298.6952,0,,,
37803.33285,41,1,5,4,493219.2686,1,,,
63704.26156,48,4,16,5,299460.2274,1,,,
128999.9356,52,1,6,0,152232.5098,0,,,
57991.29599,52,3,20,4,227743.7497,1,,,
82474.57645,33,4,13,3,424657.4967,0,,,
63988.96981,62,2,6,3,262136.3065,0,,,
132310.3604,23,1,11,4,451927.6024,1,,,
113236.3836,24,2,7,7,198381.8984,1,,,
120525.5994,57,1,6,2,15964.6837,0,,,
121457.6349,50,2,2,8,415359.2324,0,,,
89740.99923,77,0,18,2,195091.9259,1,,,
95142.1181,44,0,2,8,89818.29461,0,,,
87383.95734,80,3,7,5,243166.6117,1,,,
21143.94206,64,2,11,2,296635.2507,1,,,
34581.64726,55,0,15,6,185603.2507,1,,,
37200.74208,32,3,9,6,168547.0761,1,,,
60305.50057,58,1,4,4,469719.5006,1,,,
32839.41644,30,4,20,1,177224.3626,1,,"Acer (1895)","Sony (3105)"
45070.50666,48,3,1,5,360446.3909,1,,1895,3105
92417.81235,43,0,2,0,22677.44642,0,,,
107710.3192,75,0,16,2,209002.4065,1,,,
148495.4447,62,2,9,1,377495.2951,1,,,
78238.12041,70,3,8,0,80432.57726,0,,,
97736.75249,21,1,1,2,76882.24568,1,,,
91315.19507,57,3,16,6,267350.9575,0,,,
125452.1207,42,3,14,1,417529.833,1,,,
38579.20533,44,2,10,3,84260.2812,1,,,
38043.11147,52,2,2,3,210004.5866,1,,,
49692.09674,42,4,8,2,462826.1495,1,,,
101454.6305,26,0,18,2,22960.79969,0,,,
123266.0939,45,0,17,3,0,0,,,
108356.0675,26,0,9,0,193313.0143,1,,,
145227.4387,51,1,5,3,436186.7925,1,,,
47038.66895,37,4,11,4,26372.01677,1,,,
90380.44913,28,2,17,0,0,0,,,
87634.04855,59,2,5,6,206711.9404,1,,,
132209.9161,68,2,4,6,417555.6048,1,,,
74868.80467,71,1,7,5,176808.022,0,,,
75014.31541,72,3,18,3,296145.2233,1,,,
97986.02981,69,2,5,5,247553.2448,1,,,
76687.00712,41,0,4,3,405797.2386,0,,,
36679.32036,35,4,12,1,15727.3963,1,,,
87572.47168,43,1,12,4,68500.989,0,,,
125796.5011,57,0,15,7,323423.7621,0,,,
110027.6772,52,0,16,4,386734.4386,0,,,
81015.25683,63,0,7,7,250036,1,,,
88405.44247,36,4,8,7,195042.678,0,,,
79709.08819,51,2,3,1,291992.4442,0,,,
116982.1324,42,0,5,6,250699.3393,0,,,
36761.19167,32,2,6,2,114826.0399,1,,,
101996.8511,33,0,8,2,276545.1894,0,,,
30991.66107,75,1,18,4,307978.644,0,,,
137871.8319,24,0,17,5,115781.5242,1,,,
83185.07469,62,4,2,8,163108.4384,1,,,
