"","Volume"
"ProductTypeAccessories",0.127803771221898
"ProductTypeDisplay",-0.0375838563072547
"ProductTypeExtendedWarranty",0.0708652759829084
"ProductTypeGameConsole",0.388298240911086
"ProductTypeLaptop",-0.0697995815629212
"ProductTypeNetbook",-0.0700105446676896
"ProductTypePC",-0.102891675829251
"ProductTypePrinter",-0.149200678526086
"ProductTypePrinterSupplies",-0.090403335470175
"ProductTypeSmartphone",-0.0385082751254447
"ProductTypeSoftware",0.00119647177193154
"ProductTypeTablet",-0.0509419084952652
"ProductNum",0.166120762509489
"Price",-0.142343989943956
"x5StarReviews",1
"x4StarReviews",0.879006394026042
"x3StarReviews",0.76337318860758
"x2StarReviews",0.48727932758454
"x1StarReviews",0.25502390358328
"PositiveServiceReview",0.62226021891923
"NegativeServiceReview",0.309418988539961
"Recommendproduct",0.169541264002013
"ShippingWeight",-0.188023980197234
"ProductDepth",0.0661052491056123
"ProductWidth",-0.143436609234817
"ProductHeight",-0.160004003301731
"ProfitMargin",-0.0134486026028147
"Volume",1
