"","x"
"1","2_1_106"
"2","2_1_109"
"3","2_1_15"
"4","3_1_1"
"5","2_1_10"
"6","2_1_10"
"7","2_1_7"
"8","2_1_18"
"9","2_1_217"
"10","3_2_247"
"11","3_2_247"
"12","3_2_245"
"13","3_2_203"
"14","3_2_214"
"15","3_2_216"
"16","3_2_216"
"17","3_2_216"
"18","3_2_224"
"19","3_2_227"
"20","3_2_228"
"21","3_2_236"
"22","3_2_237"
"23","2_1_102"
"24","2_1_112"
"25","2_1_103"
"26","2_1_104"
"27","2_1_112"
"28","2_1_29"
"29","2_1_29"
"30","2_1_10"
"31","2_1_4"
"32","2_1_2"
"33","2_1_17"
"34","3_2_246"
"35","3_2_244"
"36","3_2_243"
"37","3_2_202"
"38","3_2_201"
"39","3_2_241"
"40","3_2_203"
"41","3_2_210"
"42","3_2_208"
"43","3_2_214"
"44","3_2_223"
"45","3_2_250"
"46","3_2_231"
"47","3_2_236"
"48","3_2_237"
"49","2_1_101"
"50","2_1_103"
"51","2_1_103"
"52","2_1_105"
"53","2_1_111"
"54","2_1_112"
"55","2_1_15"
"56","2_1_4"
"57","2_1_27"
"58","2_1_9"
"59","2_1_17"
"60","3_2_242"
"61","3_2_202"
"62","3_2_203"
"63","3_2_205"
"64","3_2_216"
"65","3_2_223"
"66","3_2_217"
"67","3_2_223"
"68","3_2_250"
"69","3_2_236"
"70","3_2_233"
"71","3_2_236"
"72","2_1_102"
"73","2_1_105"
"74","2_1_108"
"75","2_1_109"
"76","2_1_111"
"77","2_1_108"
"78","2_1_15"
"79","2_1_3"
"80","2_1_4"
"81","2_1_7"
"82","2_1_8"
"83","2_1_18"
"84","3_2_247"
"85","2_1_17"
"86","3_2_242"
"87","3_2_242"
"88","3_2_203"
"89","3_2_204"
"90","3_2_214"
"91","3_2_250"
"92","3_2_214"
"93","3_2_215"
"94","3_2_225"
"95","3_2_230"
"96","3_2_228"
"97","3_2_230"
"98","3_2_232"
"99","3_2_235"
"100","3_2_234"
"101","2_1_102"
"102","2_1_112"
"103","3_1_1"
"104","2_1_15"
"105","2_1_9"
"106","2_1_217"
"107","3_2_244"
"108","3_2_247"
"109","3_2_242"
"110","3_2_241"
"111","3_2_241"
"112","3_2_241"
"113","3_2_205"
"114","3_2_203"
"115","3_2_204"
"116","3_2_214"
"117","3_2_220"
"118","3_2_223"
"119","3_2_250"
"120","3_2_136"
"121","3_2_232"
"122","3_2_235"
"123","3_2_239"
"124","2_1_101"
"125","2_1_117"
"126","2_1_109"
"127","2_1_15"
"128","2_1_15"
"129","3_1_1"
"130","2_1_16"
"131","2_1_22"
"132","2_1_10"
"133","2_1_2"
"134","2_1_3"
"135","2_1_17"
"136","2_1_18"
"137","2_1_26"
"138","2_1_217"
"139","3_2_242"
"140","3_2_241"
"141","3_2_201"
"142","3_2_204"
"143","3_2_213"
"144","3_2_214"
"145","3_2_115"
"146","3_2_216"
"147","3_2_221"
"148","3_2_250"
"149","3_2_223"
"150","3_2_224"
"151","3_2_235"
"152","3_2_232"
"153","3_2_239"
"154","2_1_101"
"155","2_1_104"
"156","2_1_117"
"157","2_1_16"
"158","2_1_2"
