"","x"
"1","1"
"2","4"
"3","4"
"4","1"
"5","1"
"6","1"
"7","4"
"8","4"
"9","4"
"10","4"
"11","1"
"12","4"
"13","4"
"14","4"
"15","3"
"16","1"
"17","1"
"18","1"
"19","4"
"20","1"
"21","4"
"22","1"
"23","3"
"24","1"
"25","4"
"26","4"
"27","2"
"28","4"
"29","4"
"30","1"
"31","1"
"32","4"
"33","4"
"34","1"
"35","1"
"36","4"
"37","4"
"38","1"
"39","3"
"40","4"
"41","4"
"42","4"
"43","4"
"44","3"
"45","4"
"46","1"
"47","4"
"48","4"
"49","4"
"50","1"
"51","1"
"52","4"
"53","4"
"54","4"
"55","1"
"56","4"
"57","4"
"58","3"
"59","3"
"60","4"
"61","4"
"62","1"
"63","4"
"64","2"
"65","1"
"66","4"
"67","4"
"68","1"
"69","4"
"70","4"
"71","4"
"72","4"
"73","1"
"74","4"
"75","1"
"76","1"
"77","2"
"78","1"
"79","4"
"80","4"
"81","4"
"82","4"
"83","4"
"84","2"
"85","1"
"86","1"
"87","1"
"88","4"
"89","3"
"90","4"
"91","1"
"92","2"
"93","1"
"94","4"
"95","1"
"96","4"
"97","4"
"98","1"
"99","1"
"100","2"
"101","4"
"102","4"
"103","4"
"104","4"
"105","4"
"106","2"
"107","1"
"108","4"
"109","1"
"110","2"
"111","4"
"112","4"
"113","4"
"114","1"
"115","4"
"116","4"
"117","4"
"118","4"
"119","1"
"120","4"
"121","4"
"122","1"
"123","4"
"124","4"
"125","1"
"126","4"
"127","4"
"128","1"
"129","1"
"130","3"
"131","4"
"132","4"
"133","1"
"134","4"
"135","1"
"136","4"
"137","2"
"138","1"
"139","4"
"140","1"
"141","4"
"142","4"
"143","1"
"144","1"
"145","1"
"146","4"
"147","1"
"148","1"
"149","4"
"150","4"
"151","4"
"152","4"
"153","2"
"154","4"
"155","4"
"156","1"
"157","4"
"158","4"
"159","4"
"160","1"
"161","2"
"162","1"
"163","2"
"164","1"
"165","1"
"166","1"
"167","4"
"168","4"
"169","4"
"170","1"
"171","1"
"172","4"
"173","1"
"174","4"
"175","1"
"176","1"
"177","4"
"178","2"
"179","4"
"180","4"
"181","4"
"182","4"
"183","4"
"184","1"
"185","4"
"186","4"
"187","4"
"188","1"
"189","4"
"190","1"
"191","1"
"192","1"
"193","4"
"194","1"
"195","4"
"196","1"
"197","1"
"198","2"
"199","1"
"200","4"
"201","4"
"202","4"
"203","1"
"204","1"
"205","3"
"206","1"
"207","4"
"208","4"
"209","4"
"210","1"
"211","4"
"212","1"
"213","1"
"214","3"
"215","1"
"216","4"
"217","3"
"218","2"
"219","1"
"220","1"
"221","4"
"222","1"
"223","1"
"224","4"
"225","1"
"226","4"
"227","1"
"228","1"
"229","2"
"230","1"
"231","1"
"232","4"
"233","1"
"234","1"
"235","4"
"236","4"
"237","4"
"238","4"
"239","1"
"240","1"
"241","3"
"242","1"
"243","4"
"244","1"
"245","4"
"246","1"
"247","4"
"248","1"
"249","4"
"250","3"
"251","4"
"252","4"
"253","4"
"254","4"
"255","2"
"256","1"
"257","4"
"258","4"
"259","4"
"260","4"
"261","4"
"262","1"
"263","4"
"264","1"
"265","4"
"266","1"
"267","1"
"268","2"
"269","1"
"270","4"
"271","1"
"272","2"
"273","2"
"274","4"
"275","1"
"276","4"
"277","4"
"278","1"
"279","2"
"280","1"
"281","4"
"282","1"
"283","4"
"284","4"
"285","4"
"286","1"
"287","4"
"288","2"
"289","1"
"290","2"
"291","4"
"292","1"
"293","1"
"294","4"
"295","1"
"296","4"
"297","3"
"298","4"
"299","4"
"300","1"
"301","4"
"302","3"
"303","1"
"304","1"
"305","4"
"306","1"
"307","1"
"308","4"
"309","4"
"310","3"
"311","4"
"312","4"
"313","1"
"314","1"
"315","3"
"316","4"
"317","4"
"318","4"
"319","1"
"320","1"
"321","4"
"322","4"
"323","1"
"324","3"
"325","1"
"326","1"
"327","1"
"328","4"
"329","1"
"330","4"
"331","1"
"332","4"
"333","4"
"334","4"
"335","1"
"336","4"
"337","1"
"338","4"
"339","2"
"340","4"
"341","2"
"342","1"
"343","1"
"344","1"
"345","4"
"346","4"
"347","1"
"348","4"
"349","4"
"350","1"
"351","4"
"352","2"
"353","4"
"354","1"
"355","4"
"356","4"
"357","2"
"358","4"
"359","4"
"360","1"
"361","1"
"362","1"
"363","2"
"364","4"
"365","1"
"366","1"
"367","1"
"368","4"
"369","1"
"370","4"
"371","4"
"372","1"
"373","1"
"374","4"
"375","1"
"376","1"
"377","1"
"378","4"
"379","4"
"380","4"
"381","1"
"382","1"
"383","1"
"384","3"
"385","4"
"386","1"
"387","4"
"388","1"
"389","3"
"390","3"
"391","1"
"392","4"
"393","4"
"394","3"
"395","4"
"396","4"
"397","4"
"398","1"
"399","3"
"400","1"
"401","4"
"402","1"
"403","4"
"404","1"
"405","3"
"406","4"
"407","4"
"408","1"
"409","1"
"410","1"
"411","3"
"412","4"
"413","3"
"414","4"
"415","4"
"416","1"
"417","1"
"418","4"
"419","4"
"420","1"
"421","4"
"422","2"
"423","4"
"424","4"
"425","4"
"426","4"
"427","4"
"428","2"
"429","4"
"430","4"
"431","1"
"432","3"
"433","4"
"434","4"
"435","4"
"436","1"
"437","2"
"438","4"
"439","1"
"440","4"
"441","1"
"442","4"
"443","4"
"444","4"
"445","2"
"446","4"
"447","4"
"448","2"
"449","4"
"450","4"
"451","4"
"452","1"
"453","4"
"454","4"
"455","4"
"456","4"
"457","1"
"458","1"
"459","1"
"460","4"
"461","1"
"462","1"
"463","3"
"464","1"
"465","4"
"466","1"
"467","4"
"468","4"
"469","1"
"470","4"
"471","4"
"472","4"
"473","1"
"474","4"
"475","1"
"476","3"
"477","4"
"478","4"
"479","3"
"480","1"
"481","1"
"482","4"
"483","4"
"484","3"
"485","4"
"486","1"
"487","1"
"488","4"
"489","4"
"490","1"
"491","4"
"492","1"
"493","4"
"494","1"
"495","4"
"496","2"
"497","4"
"498","1"
"499","4"
"500","4"
"501","4"
"502","4"
"503","4"
"504","4"
"505","4"
"506","2"
"507","1"
"508","1"
"509","1"
"510","2"
"511","4"
"512","3"
"513","2"
"514","4"
"515","3"
"516","4"
"517","4"
"518","1"
"519","4"
"520","1"
"521","2"
"522","4"
"523","4"
"524","4"
"525","1"
"526","1"
"527","4"
"528","3"
"529","4"
"530","4"
"531","4"
"532","1"
"533","1"
"534","4"
"535","1"
"536","4"
"537","4"
"538","1"
"539","1"
"540","1"
"541","1"
"542","4"
"543","4"
"544","4"
"545","1"
"546","4"
"547","4"
"548","3"
"549","1"
"550","4"
"551","1"
"552","4"
"553","1"
"554","4"
"555","4"
"556","4"
"557","1"
"558","4"
"559","4"
"560","4"
"561","1"
"562","2"
"563","4"
"564","1"
"565","1"
"566","4"
"567","1"
"568","1"
"569","4"
"570","4"
"571","4"
"572","4"
"573","2"
"574","4"
"575","4"
"576","4"
"577","4"
"578","4"
"579","4"
"580","4"
"581","1"
"582","4"
"583","3"
"584","1"
"585","1"
"586","1"
"587","2"
"588","4"
"589","4"
"590","4"
"591","4"
"592","1"
"593","4"
"594","3"
"595","4"
"596","4"
"597","1"
"598","1"
"599","4"
"600","4"
"601","4"
"602","3"
"603","2"
"604","1"
"605","1"
"606","4"
"607","2"
"608","3"
"609","1"
"610","2"
"611","4"
"612","1"
"613","4"
"614","1"
"615","4"
"616","3"
"617","1"
"618","1"
"619","1"
"620","4"
"621","2"
"622","1"
"623","1"
"624","4"
"625","4"
"626","1"
"627","1"
"628","1"
"629","2"
"630","3"
"631","4"
"632","4"
"633","2"
"634","1"
"635","1"
"636","4"
"637","1"
"638","3"
"639","1"
"640","2"
"641","1"
"642","1"
"643","1"
"644","4"
"645","4"
"646","1"
"647","4"
"648","2"
"649","4"
"650","1"
"651","2"
"652","4"
"653","4"
"654","2"
"655","4"
"656","1"
"657","1"
"658","1"
"659","1"
"660","4"
"661","2"
"662","4"
"663","1"
"664","1"
"665","4"
"666","1"
"667","4"
"668","1"
"669","4"
"670","2"
"671","1"
"672","3"
"673","4"
"674","1"
"675","4"
"676","1"
"677","1"
"678","4"
"679","4"
"680","1"
"681","1"
"682","1"
"683","3"
"684","1"
"685","1"
"686","4"
"687","4"
"688","4"
"689","1"
"690","1"
"691","1"
"692","4"
"693","4"
"694","1"
"695","1"
"696","1"
"697","3"
"698","4"
"699","4"
"700","1"
"701","1"
"702","1"
"703","2"
"704","1"
"705","4"
"706","4"
"707","4"
"708","3"
"709","4"
"710","4"
"711","3"
"712","1"
"713","2"
"714","1"
"715","1"
"716","1"
"717","2"
"718","4"
"719","1"
"720","4"
"721","4"
"722","4"
"723","2"
"724","1"
"725","4"
"726","1"
"727","4"
"728","4"
"729","2"
"730","3"
"731","1"
"732","4"
"733","4"
"734","4"
"735","4"
"736","4"
"737","4"
"738","2"
"739","1"
"740","1"
"741","1"
"742","4"
"743","1"
"744","4"
"745","1"
"746","4"
"747","1"
"748","4"
"749","4"
"750","4"
"751","4"
"752","1"
"753","4"
"754","4"
"755","2"
"756","1"
"757","4"
"758","4"
"759","4"
"760","1"
"761","4"
"762","1"
"763","1"
"764","1"
"765","1"
"766","4"
"767","1"
"768","1"
"769","4"
"770","2"
"771","4"
"772","1"
"773","1"
"774","1"
"775","4"
"776","4"
"777","1"
"778","4"
"779","4"
"780","3"
"781","2"
"782","1"
"783","4"
"784","1"
"785","4"
"786","4"
"787","1"
"788","4"
"789","4"
"790","1"
"791","4"
"792","3"
"793","4"
"794","1"
"795","4"
"796","2"
"797","4"
"798","4"
"799","4"
"800","4"
"801","4"
"802","2"
"803","4"
"804","3"
"805","4"
"806","1"
"807","1"
"808","4"
"809","1"
"810","4"
"811","4"
"812","1"
"813","4"
"814","4"
"815","1"
"816","1"
"817","2"
"818","4"
"819","4"
"820","4"
"821","1"
"822","4"
"823","1"
"824","1"
"825","4"
"826","4"
"827","2"
"828","3"
"829","1"
"830","4"
"831","1"
"832","3"
"833","4"
"834","4"
"835","4"
"836","1"
"837","4"
"838","2"
"839","1"
"840","2"
"841","4"
"842","1"
"843","4"
"844","4"
"845","1"
"846","4"
"847","4"
"848","1"
"849","4"
"850","4"
"851","4"
"852","4"
"853","1"
"854","4"
"855","4"
"856","3"
"857","4"
"858","1"
"859","1"
"860","3"
"861","1"
"862","4"
"863","4"
"864","1"
"865","4"
"866","4"
"867","3"
"868","4"
"869","1"
"870","4"
"871","1"
"872","1"
"873","4"
"874","2"
"875","3"
"876","1"
"877","1"
"878","1"
"879","4"
"880","1"
"881","1"
"882","1"
"883","4"
"884","1"
"885","4"
"886","1"
"887","4"
"888","2"
"889","1"
"890","1"
"891","1"
"892","1"
"893","1"
"894","4"
"895","4"
"896","1"
"897","1"
"898","4"
"899","4"
"900","1"
"901","4"
"902","4"
"903","1"
"904","1"
"905","1"
"906","1"
"907","1"
"908","1"
"909","2"
"910","4"
"911","1"
"912","3"
"913","3"
"914","1"
"915","1"
"916","1"
"917","1"
"918","4"
"919","3"
"920","4"
"921","1"
"922","4"
"923","1"
"924","1"
"925","2"
"926","1"
"927","4"
"928","4"
"929","1"
"930","1"
"931","4"
"932","2"
"933","1"
"934","2"
"935","4"
"936","4"
"937","1"
"938","1"
"939","1"
"940","4"
"941","1"
"942","4"
"943","4"
"944","1"
"945","4"
"946","4"
"947","4"
"948","3"
"949","4"
"950","1"
"951","4"
"952","4"
"953","4"
"954","4"
"955","4"
"956","4"
"957","3"
"958","3"
"959","1"
"960","4"
"961","4"
"962","4"
"963","2"
"964","2"
"965","4"
"966","4"
"967","1"
"968","4"
"969","4"
"970","2"
"971","1"
"972","4"
"973","4"
"974","2"
"975","4"
"976","4"
"977","4"
"978","4"
"979","4"
"980","4"
"981","4"
"982","4"
"983","1"
"984","4"
"985","1"
"986","1"
"987","4"
"988","4"
"989","2"
"990","4"
"991","4"
"992","4"
"993","1"
"994","4"
"995","4"
"996","1"
"997","1"
"998","4"
"999","4"
"1000","4"
"1001","4"
"1002","4"
"1003","1"
"1004","1"
"1005","1"
"1006","2"
"1007","4"
"1008","1"
"1009","1"
"1010","1"
"1011","2"
"1012","4"
"1013","3"
"1014","1"
"1015","4"
"1016","1"
"1017","4"
"1018","1"
"1019","1"
"1020","1"
"1021","1"
"1022","3"
"1023","4"
"1024","4"
"1025","4"
"1026","4"
"1027","1"
"1028","4"
"1029","4"
"1030","4"
"1031","1"
"1032","4"
"1033","1"
"1034","4"
"1035","1"
"1036","4"
"1037","1"
"1038","4"
"1039","1"
"1040","4"
"1041","3"
"1042","4"
"1043","1"
"1044","1"
"1045","4"
"1046","1"
"1047","1"
"1048","4"
"1049","4"
"1050","4"
"1051","1"
"1052","4"
"1053","4"
"1054","1"
"1055","4"
"1056","4"
"1057","1"
"1058","3"
"1059","3"
"1060","2"
"1061","4"
"1062","4"
"1063","1"
"1064","4"
"1065","4"
"1066","4"
"1067","4"
"1068","4"
"1069","4"
"1070","4"
"1071","1"
"1072","1"
"1073","4"
"1074","1"
"1075","3"
"1076","4"
"1077","4"
"1078","4"
"1079","4"
"1080","1"
"1081","4"
"1082","2"
"1083","2"
"1084","1"
"1085","1"
"1086","4"
"1087","1"
"1088","1"
"1089","4"
"1090","4"
"1091","3"
"1092","1"
"1093","4"
"1094","4"
"1095","4"
"1096","1"
"1097","4"
"1098","4"
"1099","1"
"1100","4"
"1101","4"
"1102","4"
"1103","1"
"1104","4"
"1105","1"
"1106","1"
"1107","1"
"1108","4"
"1109","2"
"1110","4"
"1111","1"
"1112","4"
"1113","3"
"1114","2"
"1115","2"
"1116","1"
"1117","4"
"1118","4"
"1119","4"
"1120","4"
"1121","4"
"1122","1"
"1123","2"
"1124","4"
"1125","1"
"1126","1"
"1127","4"
"1128","4"
"1129","1"
"1130","1"
"1131","2"
"1132","2"
"1133","1"
"1134","4"
"1135","1"
"1136","1"
"1137","4"
"1138","4"
"1139","1"
"1140","3"
"1141","1"
"1142","4"
"1143","1"
"1144","1"
"1145","2"
"1146","1"
"1147","4"
"1148","4"
"1149","1"
"1150","1"
"1151","1"
"1152","4"
"1153","1"
"1154","3"
"1155","1"
"1156","4"
"1157","1"
"1158","4"
"1159","4"
"1160","1"
"1161","1"
"1162","1"
"1163","4"
"1164","1"
"1165","1"
"1166","1"
"1167","4"
"1168","4"
"1169","4"
"1170","1"
"1171","1"
"1172","4"
"1173","4"
"1174","1"
"1175","4"
"1176","1"
"1177","4"
"1178","4"
"1179","4"
"1180","1"
"1181","1"
"1182","1"
"1183","1"
"1184","1"
"1185","3"
"1186","4"
"1187","1"
"1188","3"
"1189","4"
"1190","1"
"1191","1"
"1192","4"
"1193","4"
"1194","1"
"1195","4"
"1196","1"
"1197","4"
"1198","4"
"1199","2"
"1200","3"
"1201","3"
"1202","4"
"1203","4"
"1204","3"
"1205","4"
"1206","1"
"1207","4"
"1208","1"
"1209","4"
"1210","3"
"1211","4"
"1212","2"
"1213","4"
"1214","1"
"1215","4"
"1216","1"
"1217","1"
"1218","4"
"1219","1"
"1220","1"
"1221","2"
"1222","1"
"1223","4"
"1224","4"
"1225","1"
"1226","4"
"1227","2"
"1228","4"
"1229","1"
"1230","2"
"1231","2"
"1232","4"
"1233","4"
"1234","1"
"1235","1"
"1236","4"
"1237","4"
"1238","4"
"1239","4"
"1240","1"
"1241","1"
"1242","1"
"1243","1"
"1244","3"
"1245","4"
"1246","4"
"1247","1"
"1248","1"
"1249","4"
"1250","1"
"1251","4"
"1252","1"
"1253","4"
"1254","1"
"1255","1"
"1256","4"
"1257","2"
"1258","4"
"1259","4"
"1260","4"
"1261","1"
"1262","4"
"1263","4"
"1264","4"
"1265","1"
"1266","4"
"1267","3"
"1268","1"
"1269","1"
"1270","1"
"1271","4"
"1272","4"
"1273","1"
"1274","4"
"1275","1"
"1276","4"
"1277","4"
"1278","1"
"1279","1"
"1280","1"
"1281","2"
"1282","4"
"1283","4"
"1284","1"
"1285","3"
"1286","1"
"1287","4"
"1288","4"
"1289","4"
"1290","2"
"1291","1"
"1292","4"
"1293","4"
"1294","4"
"1295","4"
"1296","1"
"1297","1"
"1298","1"
"1299","1"
"1300","2"
"1301","1"
"1302","4"
"1303","1"
"1304","1"
"1305","4"
"1306","4"
"1307","1"
"1308","4"
"1309","1"
"1310","4"
"1311","1"
"1312","1"
"1313","1"
"1314","1"
"1315","2"
"1316","1"
"1317","4"
"1318","4"
"1319","1"
"1320","1"
"1321","1"
"1322","1"
"1323","1"
"1324","1"
"1325","1"
"1326","1"
"1327","4"
"1328","4"
"1329","4"
"1330","2"
"1331","4"
"1332","4"
"1333","1"
"1334","1"
"1335","4"
"1336","4"
"1337","1"
"1338","4"
"1339","4"
"1340","4"
"1341","1"
"1342","1"
"1343","1"
"1344","2"
"1345","3"
"1346","4"
"1347","1"
"1348","4"
"1349","4"
"1350","2"
"1351","4"
"1352","1"
"1353","1"
"1354","4"
"1355","4"
"1356","4"
"1357","1"
"1358","3"
"1359","2"
"1360","1"
"1361","1"
"1362","4"
"1363","4"
"1364","1"
"1365","2"
"1366","4"
"1367","1"
"1368","1"
"1369","4"
"1370","4"
"1371","1"
"1372","4"
"1373","4"
"1374","1"
"1375","4"
"1376","4"
"1377","4"
"1378","1"
"1379","4"
"1380","4"
"1381","4"
"1382","4"
"1383","3"
"1384","1"
"1385","4"
"1386","4"
"1387","4"
"1388","4"
"1389","4"
"1390","3"
"1391","1"
"1392","2"
"1393","4"
"1394","1"
"1395","1"
"1396","4"
"1397","1"
"1398","1"
"1399","4"
"1400","1"
"1401","3"
"1402","1"
"1403","4"
"1404","4"
"1405","4"
"1406","2"
"1407","4"
"1408","4"
"1409","1"
"1410","4"
"1411","4"
"1412","1"
"1413","1"
"1414","1"
"1415","4"
"1416","4"
"1417","4"
"1418","4"
"1419","4"
"1420","4"
"1421","2"
"1422","3"
"1423","4"
"1424","4"
"1425","1"
"1426","3"
"1427","4"
"1428","4"
"1429","3"
"1430","1"
"1431","4"
"1432","4"
"1433","4"
"1434","4"
"1435","4"
"1436","4"
"1437","4"
"1438","4"
"1439","4"
"1440","2"
"1441","4"
"1442","4"
"1443","4"
"1444","4"
"1445","4"
"1446","2"
"1447","2"
"1448","1"
"1449","1"
"1450","1"
"1451","2"
"1452","4"
"1453","1"
"1454","1"
"1455","1"
"1456","4"
"1457","1"
"1458","1"
"1459","1"
"1460","4"
"1461","4"
"1462","1"
"1463","4"
"1464","4"
"1465","1"
"1466","1"
"1467","4"
"1468","2"
"1469","4"
"1470","4"
"1471","4"
"1472","4"
"1473","1"
"1474","4"
"1475","4"
"1476","4"
"1477","1"
"1478","1"
"1479","3"
"1480","1"
"1481","4"
"1482","4"
"1483","1"
"1484","4"
"1485","4"
"1486","1"
"1487","3"
"1488","4"
"1489","4"
"1490","4"
"1491","4"
"1492","1"
"1493","4"
"1494","4"
"1495","4"
"1496","1"
"1497","1"
"1498","1"
"1499","1"
"1500","2"
"1501","4"
"1502","4"
"1503","4"
"1504","1"
"1505","1"
"1506","1"
"1507","2"
"1508","1"
"1509","4"
"1510","4"
"1511","4"
"1512","1"
"1513","1"
"1514","4"
"1515","4"
"1516","1"
"1517","4"
"1518","4"
"1519","4"
"1520","4"
"1521","1"
"1522","1"
"1523","1"
"1524","4"
"1525","4"
"1526","4"
"1527","4"
"1528","1"
"1529","1"
"1530","4"
"1531","4"
"1532","1"
"1533","1"
"1534","1"
"1535","4"
"1536","1"
"1537","4"
"1538","1"
"1539","4"
"1540","1"
"1541","4"
"1542","4"
"1543","4"
"1544","4"
"1545","1"
"1546","4"
"1547","4"
"1548","4"
"1549","4"
"1550","1"
"1551","3"
"1552","4"
"1553","4"
"1554","4"
"1555","3"
"1556","1"
"1557","1"
"1558","1"
"1559","4"
"1560","4"
"1561","4"
"1562","1"
"1563","4"
"1564","1"
"1565","4"
"1566","1"
"1567","1"
"1568","1"
"1569","4"
"1570","1"
"1571","4"
"1572","4"
"1573","4"
"1574","4"
"1575","1"
"1576","1"
"1577","4"
"1578","4"
"1579","4"
"1580","4"
"1581","4"
"1582","1"
"1583","2"
"1584","4"
"1585","1"
"1586","1"
"1587","1"
"1588","4"
"1589","1"
"1590","1"
"1591","1"
"1592","4"
"1593","1"
"1594","4"
"1595","3"
"1596","1"
"1597","1"
"1598","4"
"1599","1"
"1600","4"
"1601","4"
"1602","4"
"1603","4"
"1604","1"
"1605","4"
"1606","1"
"1607","1"
"1608","1"
"1609","1"
"1610","1"
"1611","4"
"1612","1"
"1613","1"
"1614","3"
"1615","2"
"1616","1"
"1617","2"
"1618","4"
"1619","4"
"1620","4"
"1621","4"
"1622","4"
"1623","1"
"1624","3"
"1625","3"
"1626","1"
"1627","1"
"1628","4"
"1629","1"
"1630","4"
"1631","4"
"1632","4"
"1633","3"
"1634","4"
"1635","1"
"1636","4"
"1637","4"
"1638","1"
"1639","4"
"1640","4"
"1641","4"
"1642","4"
"1643","4"
"1644","1"
"1645","1"
"1646","4"
"1647","4"
"1648","3"
"1649","1"
"1650","2"
"1651","4"
"1652","4"
"1653","4"
"1654","3"
"1655","4"
"1656","1"
"1657","4"
"1658","1"
"1659","4"
"1660","1"
"1661","4"
"1662","4"
"1663","4"
"1664","1"
"1665","1"
"1666","4"
"1667","1"
"1668","4"
"1669","4"
"1670","3"
"1671","4"
"1672","4"
"1673","4"
"1674","1"
"1675","1"
"1676","3"
"1677","4"
"1678","1"
"1679","2"
"1680","1"
"1681","1"
"1682","2"
"1683","1"
"1684","4"
"1685","1"
"1686","2"
"1687","4"
"1688","4"
"1689","4"
"1690","2"
"1691","4"
"1692","1"
"1693","1"
"1694","1"
"1695","1"
"1696","1"
"1697","4"
"1698","1"
"1699","1"
"1700","4"
"1701","4"
"1702","4"
"1703","2"
"1704","4"
"1705","3"
"1706","4"
"1707","1"
"1708","1"
"1709","1"
"1710","4"
"1711","1"
"1712","2"
"1713","1"
"1714","1"
"1715","1"
"1716","4"
"1717","4"
"1718","1"
"1719","4"
"1720","4"
"1721","1"
"1722","1"
"1723","4"
"1724","2"
"1725","1"
"1726","4"
"1727","4"
"1728","4"
"1729","4"
"1730","1"
"1731","1"
"1732","4"
"1733","1"
"1734","4"
"1735","3"
"1736","1"
"1737","4"
"1738","4"
"1739","2"
"1740","2"
"1741","3"
"1742","1"
"1743","1"
"1744","1"
"1745","3"
"1746","4"
"1747","4"
"1748","4"
"1749","1"
"1750","3"
"1751","4"
"1752","4"
"1753","4"
"1754","4"
"1755","1"
"1756","1"
"1757","1"
"1758","4"
"1759","4"
"1760","1"
"1761","4"
"1762","4"
"1763","3"
"1764","1"
"1765","4"
"1766","1"
"1767","4"
"1768","1"
"1769","4"
"1770","4"
"1771","4"
"1772","4"
"1773","4"
"1774","4"
"1775","4"
"1776","1"
"1777","4"
"1778","4"
"1779","4"
"1780","2"
"1781","3"
"1782","4"
"1783","1"
"1784","4"
"1785","4"
"1786","1"
"1787","1"
"1788","4"
"1789","4"
"1790","4"
"1791","2"
"1792","4"
"1793","4"
"1794","1"
"1795","4"
"1796","4"
"1797","4"
"1798","4"
"1799","4"
"1800","4"
"1801","1"
"1802","2"
"1803","4"
"1804","1"
"1805","4"
"1806","4"
"1807","1"
"1808","1"
"1809","1"
"1810","4"
"1811","2"
"1812","1"
"1813","4"
"1814","2"
"1815","1"
"1816","1"
"1817","1"
"1818","4"
"1819","4"
"1820","1"
"1821","1"
"1822","4"
"1823","4"
"1824","3"
"1825","4"
"1826","4"
"1827","1"
"1828","4"
"1829","4"
"1830","3"
"1831","4"
"1832","4"
"1833","1"
"1834","1"
"1835","1"
"1836","3"
"1837","1"
"1838","4"
"1839","4"
"1840","1"
"1841","1"
"1842","1"
"1843","4"
"1844","1"
"1845","4"
"1846","2"
"1847","1"
"1848","3"
"1849","4"
"1850","2"
"1851","4"
"1852","1"
