"","0","1","2","3","4","5"
"Sensitivity",0.690944881889764,0,0.125925925925926,0.613636363636364,0.263529411764706,0.974326059050064
"Specificity",0.988700564971751,1,1,0.989485649332197,0.995356935577481,0.473924380704042
"Pos Pred Value",0.902313624678663,NA,1,0.853754940711462,0.875000000000001,0.738326848249027
"Neg Pred Value",0.95491097070649,0.970550245414622,0.969382459782045,0.962410171365395,0.916377237510019,0.923761118170267
"Precision",0.902313624678663,NA,1,0.853754940711462,0.875,0.738326848249027
"Recall",0.690944881889764,0,0.125925925925926,0.613636363636364,0.263529411764706,0.974326059050064
"F1",0.782608695652174,NA,0.223684210526316,0.714049586776859,0.40506329113924,0.840066408411732
"Prevalence",0.131232239731336,0.0294497545853785,0.0348747093774219,0.0909325755618703,0.109790751743735,0.603719969000258
"Detection Rate",0.0906742443812968,0,0.00439163006974942,0.055799535003875,0.0289330922242315,0.588220098165849
"Detection Prevalence",0.10049082924309,0,0.00439163006974942,0.0653577886850943,0.0330663911134074,0.796693360888659
"Balanced Accuracy",0.839822723430758,0.5,0.562962962962963,0.80156100648428,0.629443173671093,0.724125219877053
