"","0","1","2","3","4","5"
"Sensitivity",0.55511811023622,0,0.0148148148148148,0.272727272727273,0.141176470588235,0.967051775780916
"Specificity",0.969075230449004,1,0.999464668094218,0.976982097186701,0.998258850841555,0.36245110821382
"Pos Pred Value",0.730569948186529,NA,0.499999999999998,0.542372881355933,0.909090909090908,0.697961704756022
"Neg Pred Value",0.935150645624103,0.970550245414622,0.965606413240238,0.930698429886302,0.90407358738502,0.878357030015798
"Precision",0.730569948186529,NA,0.5,0.542372881355932,0.909090909090909,0.697961704756022
"Recall",0.55511811023622,0,0.0148148148148148,0.272727272727273,0.141176470588235,0.967051775780916
"F1",0.630872483221477,NA,0.0287769784172662,0.362948960302457,0.244399185336049,0.810762331838565
"Prevalence",0.131232239731336,0.0294497545853785,0.0348747093774219,0.0909325755618703,0.109790751743735,0.603719969000258
"Detection Rate",0.0728493929217257,0,0.00051666236114699,0.0247997933350555,0.0154998708344097,0.583828468096099
"Detection Prevalence",0.0997158357013692,0,0.00103332472229398,0.0457246189615087,0.0170498579178507,0.836476362696978
"Balanced Accuracy",0.762096670342612,0.5,0.507139741454517,0.624854684956987,0.569717660714895,0.664751441997368
