"","0","1","2","3","4","5"
"Sensitivity",0.698818897637795,0,0.125925925925926,0.602272727272727,0.275294117647059,0.973042362002567
"Specificity",0.988105857865001,1,1,0.990906507530548,0.993325594892629,0.477835723598435
"Pos Pred Value",0.89873417721519,NA,1,0.868852459016393,0.835714285714286,0.739512195121951
"Neg Pred Value",0.955983889528193,0.970550245414622,0.969382459782045,0.961400606561897,0.917448405253283,0.920854271356784
"Precision",0.89873417721519,NA,1,0.868852459016393,0.835714285714286,0.739512195121951
"Recall",0.698818897637795,0,0.125925925925926,0.602272727272727,0.275294117647059,0.973042362002567
"F1",0.786267995570321,NA,0.223684210526316,0.711409395973154,0.414159292035398,0.840354767184035
"Prevalence",0.131232239731336,0.0294497545853785,0.0348747093774219,0.0909325755618703,0.109790751743735,0.603719969000258
"Detection Rate",0.0917075691035908,0,0.00439163006974942,0.054766210281581,0.0302247481270989,0.587445104624128
"Detection Prevalence",0.102040816326531,0,0.00439163006974942,0.0630328080599328,0.0361663652802893,0.794368380263498
"Balanced Accuracy",0.843462377751398,0.5,0.562962962962963,0.796589617401638,0.634309856269844,0.725439042800501
