"","0","1","2","3","4","5"
"Sensitivity",0.698818897637795,0.0087719298245614,0.140740740740741,0.625,0.275294117647059,0.908857509627728
"Specificity",0.980374665477252,0.997870641469257,0.98634903640257,0.978971298664393,0.977365060940221,0.505867014341591
"Pos Pred Value",0.843230403800475,0.111111111111112,0.271428571428571,0.748299319727891,0.6,0.736988202637058
"Neg Pred Value",0.955652173913043,0.970740548938374,0.969481715338069,0.963097567794241,0.916213275299238,0.784630940343782
"Precision",0.843230403800475,0.111111111111111,0.271428571428571,0.748299319727891,0.6,0.736988202637058
"Recall",0.698818897637795,0.0087719298245614,0.140740740740741,0.625,0.275294117647059,0.908857509627728
"F1",0.764262648008611,0.016260162601626,0.185365853658537,0.681114551083591,0.37741935483871,0.813949032381682
"Prevalence",0.131232239731336,0.0294497545853785,0.0348747093774219,0.0909325755618703,0.109790751743735,0.603719969000258
"Detection Rate",0.0917075691035908,0.000258331180573495,0.00490829243089641,0.056832859726169,0.0302247481270989,0.548695427538104
"Detection Prevalence",0.108757427021441,0.00232498062516146,0.0180831826401447,0.0759493670886076,0.0503745802118316,0.744510462412813
"Balanced Accuracy",0.839596781557524,0.503321285646909,0.563544888571655,0.801985649332197,0.62632958929364,0.707362261984659
