"","0","1","2","3","4","5"
"Sensitivity",0.700787401574803,0,0.125925925925926,0.613636363636364,0.294117647058824,0.966195977749251
"Specificity",0.989295272078501,0.998935320734629,0.997858672376874,0.990338164251208,0.990423679628555,0.488917861799218
"Pos Pred Value",0.908163265306122,0,0.679999999999998,0.864,0.791139240506329,0.742274819197896
"Neg Pred Value",0.956309284277091,0.970519782777347,0.96931877275091,0.962441314553991,0.919202800969566,0.904704463208685
"Precision",0.908163265306122,0,0.68,0.864,0.791139240506329,0.742274819197896
"Recall",0.700787401574803,0,0.125925925925926,0.613636363636364,0.294117647058824,0.966195977749251
"F1",0.791111111111111,NA,0.2125,0.717607973421927,0.428816466552316,0.839561256739171
"Prevalence",0.131232239731336,0.0294497545853785,0.0348747093774219,0.0909325755618703,0.109790751743735,0.603719969000258
"Detection Rate",0.0919659002841643,0,0.00439163006974942,0.055799535003875,0.0322913975716869,0.583311805734952
"Detection Prevalence",0.10126582278481,0.00103332472229398,0.00645827951433738,0.0645827951433738,0.0408163265306122,0.785843451304572
"Balanced Accuracy",0.845041336826652,0.499467660367314,0.5618922991514,0.801987263943786,0.642270663343689,0.727556919774234
