"","0","1","2","3","4","5"
"Sensitivity",0.572834645669291,0,0.0148148148148148,0.272727272727273,0.141176470588235,0.965340179717587
"Specificity",0.968777876895629,1,0.999464668094218,0.976982097186701,0.997968659315148,0.367014341590613
"Pos Pred Value",0.734848484848485,NA,0.499999999999998,0.542372881355933,0.895522388059702,0.699101332506972
"Neg Pred Value",0.937553956834532,0.970550245414622,0.965606413240238,0.930698429886302,0.904048370136698,0.874223602484472
"Precision",0.734848484848485,NA,0.5,0.542372881355932,0.895522388059702,0.699101332506972
"Recall",0.572834645669291,0,0.0148148148148148,0.272727272727273,0.141176470588235,0.965340179717587
"F1",0.643805309734513,NA,0.0287769784172662,0.362948960302457,0.24390243902439,0.810927390366643
"Prevalence",0.131232239731336,0.0294497545853785,0.0348747093774219,0.0909325755618703,0.109790751743735,0.603719969000258
"Detection Rate",0.0751743735468871,0,0.00051666236114699,0.0247997933350555,0.0154998708344097,0.582795143373805
"Detection Prevalence",0.102299147507104,0,0.00103332472229398,0.0457246189615087,0.0173081890984242,0.833634719710669
"Balanced Accuracy",0.77080626128246,0.5,0.507139741454517,0.624854684956987,0.569572564951692,0.6661772606541
