"","0","1","2","3","4","5"
"Sensitivity",0.698818897637795,0.0087719298245614,0.140740740740741,0.625,0.272941176470588,0.908001711596063
"Specificity",0.979185251263753,0.997870641469257,0.98661670235546,0.978971298664393,0.977074869413813,0.50651890482399
"Pos Pred Value",0.835294117647059,0.111111111111112,0.27536231884058,0.748299319727891,0.594871794871795,0.737061479680445
"Neg Pred Value",0.955600696459663,0.970740548938374,0.969489742240926,0.963097567794241,0.915941240478781,0.783266129032258
"Precision",0.835294117647059,0.111111111111111,0.27536231884058,0.748299319727891,0.594871794871795,0.737061479680445
"Recall",0.698818897637795,0.0087719298245614,0.140740740740741,0.625,0.272941176470588,0.908001711596063
"F1",0.760986066452304,0.016260162601626,0.186274509803922,0.681114551083591,0.374193548387097,0.813650306748466
"Prevalence",0.131232239731336,0.0294497545853785,0.0348747093774219,0.0909325755618703,0.109790751743735,0.603719969000258
"Detection Rate",0.0917075691035908,0.000258331180573495,0.00490829243089641,0.056832859726169,0.0299664169465254,0.548178765176957
"Detection Prevalence",0.109790751743735,0.00232498062516146,0.0178248514595712,0.0759493670886076,0.0503745802118316,0.743735468871093
"Balanced Accuracy",0.839002074450774,0.503321285646909,0.563678721548101,0.801985649332197,0.625008022942201,0.707260308210026
