"","1","2","3","4"
"Sensitivity",0.579454253611557,0.125925925925926,0.573863636363636,0.977914554670529
"Specificity",0.987380732533087,0.998929622691999,0.990909090909091,0.536936936936937
"Pos Pred Value",0.898009950248756,0.809523809523808,0.863247863247864,0.840124416796267
"Neg Pred Value",0.924495677233429,0.969358608153726,0.958768554150632,0.907153729071537
"Precision",0.898009950248756,0.80952380952381,0.863247863247863,0.840124416796267
"Recall",0.579454253611557,0.125925925925926,0.573863636363636,0.977914554670529
"F1",0.704390243902439,0.217948717948718,0.689419795221843,0.903797891919023
"Prevalence",0.160898760330579,0.0348657024793388,0.0909090909090909,0.713326446280992
"Detection Rate",0.0932334710743802,0.0043904958677686,0.0521694214876033,0.697572314049587
"Detection Prevalence",0.103822314049587,0.00542355371900826,0.0604338842975207,0.830320247933884
"Balanced Accuracy",0.783417493072322,0.562427774308962,0.782386363636364,0.757425745803733
