"","0","1","2","3","4","5"
"Sensitivity",0.639455782312925,0,0,0.544943820224719,0.310904872389791,0.993810786914235
"Specificity",0.99061175045427,1,1,0.995755517826825,0.997398091934085,0.457616707616708
"Pos Pred Value",0.923832923832924,NA,NA,0.928229665071771,0.937062937062938,0.717981475566912
"Neg Pred Value",0.939132931380993,0.969922879177378,0.965038560411311,0.9559902200489,0.920736589271417,0.981554677206851
"Precision",0.923832923832924,NA,NA,0.92822966507177,0.937062937062937,0.717981475566911
"Recall",0.639455782312925,0,0,0.544943820224719,0.310904872389791,0.993810786914235
"F1",0.755778894472362,NA,NA,0.686725663716814,0.466898954703833,0.833673280178009
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.0966580976863753,0,0,0.0498714652956298,0.0344473007712082,0.577892030848329
"Detection Prevalence",0.104627249357326,0,0,0.0537275064267352,0.0367609254498715,0.804884318766067
"Balanced Accuracy",0.815033766383598,0.5,0.5,0.770349669025772,0.654151482161938,0.725713747265471
