"","0","1","2","3","4","5"
"Sensitivity",0.908163265306122,0.0170940170940171,0.0220588235294118,0.542134831460674,0.296983758700696,0.176392572944297
"Specificity",0.300121138703816,0.988073151338457,0.990676611614278,0.991228070175439,0.987857762359063,0.897420147420147
"Pos Pred Value",0.187697715289982,0.0425531914893615,0.0789473684210527,0.861607142857142,0.752941176470588,0.704946996466431
"Neg Pred Value",0.948325358851675,0.97007546187874,0.965472481827622,0.955537370430987,0.918548387096774,0.439530685920578
"Precision",0.187697715289982,0.0425531914893617,0.0789473684210526,0.861607142857143,0.752941176470588,0.704946996466431
"Recall",0.908163265306122,0.0170940170940171,0.0220588235294118,0.542134831460674,0.296983758700696,0.176392572944297
"F1",0.311098164870376,0.024390243902439,0.0344827586206897,0.66551724137931,0.425956738768719,0.282178217821782
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.137275064267352,0.00051413881748072,0.00077120822622108,0.0496143958868895,0.0329048843187661,0.102570694087404
"Detection Prevalence",0.731362467866324,0.0120822622107969,0.00976863753213368,0.0575835475578406,0.0437017994858612,0.145501285347044
"Balanced Accuracy",0.604142202004969,0.502583584216237,0.506367717571845,0.766681450818056,0.64242076052988,0.536906360182222
