"","0","1","2","3","4","5"
"Sensitivity",0.634353741496599,0,0,0.550561797752809,0.301624129930394,0.995579133510168
"Specificity",0.991217443973349,1,1,0.998585172608942,0.997976293726511,0.448402948402948
"Pos Pred Value",0.927860696517413,NA,NA,0.975124378109453,0.948905109489051,0.714920634920635
"Neg Pred Value",0.938360091743119,0.969922879177378,0.965038560411311,0.956627812415289,0.919797495337064,0.986486486486487
"Precision",0.927860696517413,NA,NA,0.975124378109453,0.948905109489051,0.714920634920635
"Recall",0.634353741496599,0,0,0.550561797752809,0.301624129930394,0.995579133510168
"F1",0.753535353535354,NA,NA,0.703770197486535,0.457746478873239,0.832224685883223
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.0958868894601542,0,0,0.0503856041131105,0.0334190231362468,0.57892030848329
"Detection Prevalence",0.103341902313625,0,0,0.0516709511568123,0.0352185089974293,0.809768637532134
"Balanced Accuracy",0.812785592734974,0.5,0.5,0.774573485180875,0.649800211828452,0.721991040956558
