"","0","1","2","3","4","5"
"Sensitivity",0.564625850340136,0,0,0.157303370786517,0.183294663573086,0.975243147656941
"Specificity",0.970018170805572,1,1,0.997170345217883,0.997976293726511,0.323710073710074
"Pos Pred Value",0.770301624129931,NA,NA,0.848484848484847,0.91860465116279,0.667069851829453
"Neg Pred Value",0.925990170569529,0.969922879177378,0.965038560411311,0.921548117154812,0.907465825446898,0.903945111492281
"Precision",0.77030162412993,NA,NA,0.848484848484849,0.918604651162791,0.667069851829453
"Recall",0.564625850340136,0,0,0.157303370786517,0.183294663573086,0.975243147656941
"F1",0.65161923454367,NA,NA,0.265402843601896,0.305609284332689,0.792242772490573
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.0853470437017995,0,0,0.0143958868894602,0.0203084832904884,0.567095115681234
"Detection Prevalence",0.110796915167095,0,0,0.0169665809768638,0.022107969151671,0.85012853470437
"Balanced Accuracy",0.767322010572854,0.5,0.5,0.5772368580022,0.590635478649798,0.649476610683507
