"","0","1","2","3","4","5"
"Sensitivity",0.636054421768708,0,0.125,0.657303370786517,0.306264501160093,0.989832007073386
"Specificity",0.994851605087826,1,1,0.996321448783248,0.995663486556808,0.478501228501229
"Pos Pred Value",0.956521739130435,NA,1,0.947368421052632,0.89795918367347,0.725064766839378
"Neg Pred Value",0.938839668476708,0.969922879177378,0.969274464239608,0.96651111721109,0.920117552765162,0.971321695760598
"Precision",0.956521739130435,NA,1,0.947368421052632,0.897959183673469,0.725064766839378
"Recall",0.636054421768708,0,0.125,0.657303370786517,0.306264501160093,0.989832007073386
"F1",0.764044943820225,NA,0.222222222222222,0.776119402985075,0.456747404844291,0.837009345794393
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.0961439588688946,0,0.00437017994858612,0.0601542416452442,0.0339331619537275,0.575578406169666
"Detection Prevalence",0.100514138817481,0,0.00437017994858612,0.0634961439588689,0.0377892030848329,0.793830334190231
"Balanced Accuracy",0.815453013428266,0.5,0.5625,0.826812409784883,0.650963993858451,0.734166617787307
