"","0","1","2","3","4","5"
"Sensitivity",0.91156462585034,0.0256410256410256,0.132352941176471,0.660112359550562,0.310904872389791,0.181697612732096
"Specificity",0.330405814657783,0.983037370792473,0.991742141715503,0.987266553480475,0.985834056085574,0.906019656019656
"Pos Pred Value",0.195121951219512,0.0447761194029852,0.36734693877551,0.839285714285715,0.73224043715847,0.728723404255319
"Neg Pred Value",0.954505686789151,0.970180486528904,0.969278833637074,0.966481994459834,0.919881305637982,0.443475646422129
"Precision",0.195121951219512,0.0447761194029851,0.36734693877551,0.839285714285714,0.73224043715847,0.728723404255319
"Recall",0.91156462585034,0.0256410256410256,0.132352941176471,0.660112359550562,0.310904872389791,0.181697612732096
"F1",0.32143928035982,0.0326086956521739,0.194594594594595,0.738993710691824,0.436482084690554,0.290870488322718
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.137789203084833,0.00077120822622108,0.00462724935732648,0.0604113110539846,0.0344473007712082,0.105655526992288
"Detection Prevalence",0.706169665809769,0.0172236503856041,0.0125964010282776,0.0719794344473008,0.0470437017994859,0.144987146529563
"Balanced Accuracy",0.620985220254062,0.504339198216749,0.562047541445987,0.823689456515519,0.648369464237682,0.543858634375876
