"","0","1","2","3","4","5"
"Sensitivity",0.642857142857143,0,0.125,0.660112359550562,0.331786542923434,0.986737400530504
"Specificity",0.995457298606905,0.999469917837265,0.998401704848162,0.996321448783248,0.994507082971957,0.49017199017199
"Pos Pred Value",0.961832061068702,0,0.739130434782605,0.947580645161291,0.882716049382716,0.72893533638145
"Neg Pred Value",0.939948527309122,0.969907407407407,0.969226790793897,0.966776496430533,0.92274678111588,0.963768115942029
"Precision",0.961832061068702,0,0.739130434782609,0.94758064516129,0.882716049382716,0.72893533638145
"Recall",0.642857142857143,0,0.125,0.660112359550562,0.331786542923434,0.986737400530504
"F1",0.770642201834862,NA,0.213836477987421,0.778145695364238,0.482293423271501,0.838467317806161
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.097172236503856,0,0.00437017994858612,0.0604113110539846,0.0367609254498715,0.573778920308483
"Detection Prevalence",0.101028277634961,0.00051413881748072,0.00591259640102828,0.0637532133676093,0.0416452442159383,0.787146529562982
"Balanced Accuracy",0.819157220732024,0.499734958918632,0.561700852424081,0.828216904166905,0.663146812947696,0.738454695351247
