"","0","1","2","3","4","5"
"Sensitivity",0.641156462585034,0,0,0.280898876404494,0.185614849187935,0.976127320954907
"Specificity",0.97183525136281,1,0.999467234949387,0.991794001131862,0.998843596415149,0.387592137592138
"Pos Pred Value",0.802127659574468,NA,0,0.775193798449612,0.952380952380951,0.688923556942278
"Neg Pred Value",0.938304093567251,0.969922879177378,0.965020576131687,0.931932996543473,0.907777193904362,0.921167883211679
"Precision",0.802127659574468,NA,0,0.775193798449612,0.952380952380952,0.688923556942278
"Recall",0.641156462585034,0,0,0.280898876404494,0.185614849187935,0.976127320954907
"F1",0.712665406427221,NA,NA,0.412371134020619,0.310679611650485,0.807755624657033
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.0969151670951157,0,0,0.025706940874036,0.0205655526992288,0.567609254498715
"Detection Prevalence",0.120822622107969,0,0.00051413881748072,0.0331619537275064,0.0215938303341902,0.823907455012853
"Balanced Accuracy",0.806495856973922,0.5,0.499733617474694,0.636346438768178,0.592229222801542,0.681859729273522
