"","0","1","2","3","4","5"
"Sensitivity",0.630952380952381,0,0.125,0.657303370786517,0.317865429234339,0.992926613616269
"Specificity",0.995760145366445,1,1,0.996887379739672,0.996819890141659,0.478501228501229
"Pos Pred Value",0.963636363636363,NA,1,0.955102040816327,0.925675675675675,0.725686591276252
"Neg Pred Value",0.938088445078459,0.969922879177378,0.969274464239608,0.966529492455418,0.92143238909674,0.979874213836478
"Precision",0.963636363636364,NA,1,0.955102040816327,0.925675675675676,0.725686591276252
"Recall",0.630952380952381,0,0.125,0.657303370786517,0.317865429234339,0.992926613616269
"F1",0.762589928057554,NA,0.222222222222222,0.778702163061564,0.473229706390328,0.838529027440732
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.0953727506426735,0,0.00437017994858612,0.0601542416452442,0.0352185089974293,0.577377892030848
"Detection Prevalence",0.0989717223650386,0,0.00437017994858612,0.0629820051413882,0.0380462724935733,0.795629820051414
"Balanced Accuracy",0.813356263159413,0.5,0.5625,0.827095375263094,0.657342659687999,0.735713921058749
