"","0","1","2","3","4","5"
"Sensitivity",0.904761904761905,0.0341880341880342,0.132352941176471,0.654494382022472,0.310904872389791,0.174624226348364
"Specificity",0.32434887946699,0.982772329711105,0.990942994139584,0.987266553480475,0.985544955189361,0.908476658476658
"Pos Pred Value",0.192544335866811,0.0579710144927535,0.346153846153846,0.838129496402878,0.728260869565218,0.726102941176471
"Neg Pred Value",0.950310559006211,0.970426589897933,0.969254820218864,0.965946843853821,0.919859686994064,0.442020322773461
"Precision",0.192544335866811,0.0579710144927536,0.346153846153846,0.838129496402878,0.728260869565217,0.726102941176471
"Recall",0.904761904761905,0.0341880341880342,0.132352941176471,0.654494382022472,0.310904872389791,0.174624226348364
"F1",0.317517159056998,0.043010752688172,0.191489361702128,0.735015772870662,0.435772357723577,0.281539558089808
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.136760925449871,0.00102827763496144,0.00462724935732648,0.0598971722365039,0.0344473007712082,0.101542416452442
"Detection Prevalence",0.710282776349614,0.0177377892030848,0.0133676092544987,0.0714652956298201,0.0473007712082262,0.139845758354756
"Balanced Accuracy",0.614555392114447,0.50848018194957,0.561647967658027,0.820880467751474,0.648224913789576,0.541550442412511
