"","0","1","2","3","4","5"
"Sensitivity",0.637755102040816,0,0.125,0.665730337078652,0.334106728538283,0.98894783377542
"Specificity",0.996668685645064,0.999469917837265,0.998934469898775,0.996887379739672,0.993928881179532,0.48955773955774
"Pos Pred Value",0.971502590673575,0,0.809523809523812,0.955645161290323,0.872727272727274,0.729139504563233
"Neg Pred Value",0.939212328767123,0.969907407407407,0.969242698371672,0.967325645249863,0.922953020134228,0.969586374695864
"Precision",0.971502590673575,0,0.80952380952381,0.955645161290323,0.872727272727273,0.729139504563233
"Recall",0.637755102040816,0,0.125,0.665730337078652,0.334106728538283,0.98894783377542
"F1",0.770020533880903,NA,0.21656050955414,0.78476821192053,0.483221476510067,0.839399624765478
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.096401028277635,0,0.00437017994858612,0.0609254498714653,0.0370179948586118,0.575064267352185
"Detection Prevalence",0.0992287917737789,0.00051413881748072,0.00539845758354756,0.0637532133676093,0.0424164524421594,0.788688946015424
"Balanced Accuracy",0.81721189384294,0.499734958918632,0.561967234949387,0.831308858409162,0.664017804858907,0.73925278666658
