"","0","1","2","3","4","5"
"Sensitivity",0.627551020408163,0,0.0220588235294118,0.283707865168539,0.194895591647332,0.978337754199823
"Specificity",0.974258025439128,1,0.999200852424081,0.99320882852292,0.997687192830298,0.385749385749386
"Pos Pred Value",0.812775330396476,NA,0.499999999999995,0.808000000000001,0.913043478260868,0.688764394646748
"Neg Pred Value",0.936263096623981,0.969922879177378,0.965756951596292,0.932270916334661,0.908636124275935,0.927621861152142
"Precision",0.812775330396476,NA,0.5,0.808,0.91304347826087,0.688764394646748
"Recall",0.627551020408163,0,0.0220588235294118,0.283707865168539,0.194895591647332,0.978337754199823
"F1",0.708253358925144,NA,0.0422535211267606,0.41995841995842,0.321223709369025,0.808401826484018
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.0948586118251928,0,0.00077120822622108,0.0259640102827764,0.0215938303341902,0.568894601542416
"Detection Prevalence",0.116709511568123,0,0.00154241645244216,0.032133676092545,0.0236503856041131,0.825964010282776
"Balanced Accuracy",0.800904522923646,0.5,0.510629837976746,0.63845834684573,0.596291392238815,0.682043569974604
