"","iphone","samsunggalaxy","sonyxperia","nokialumina","htcphone","ios","googleandroid","iphonecampos","samsungcampos","sonycampos","nokiacampos","htccampos","iphonecamneg","samsungcamneg","sonycamneg","nokiacamneg","htccamneg","iphonecamunc","samsungcamunc","sonycamunc","nokiacamunc","htccamunc","iphonedispos","samsungdispos","sonydispos","nokiadispos","htcdispos","iphonedisneg","samsungdisneg","sonydisneg","nokiadisneg","htcdisneg","iphonedisunc","samsungdisunc","sonydisunc","nokiadisunc","htcdisunc","iphoneperpos","samsungperpos","sonyperpos","nokiaperpos","htcperpos","iphoneperneg","samsungperneg","sonyperneg","nokiaperneg","htcperneg","iphoneperunc","samsungperunc","sonyperunc","nokiaperunc","htcperunc","iosperpos","googleperpos","iosperneg","googleperneg","iosperunc","googleperunc","iphonesentiment"
"iphone",1,0.0197858228443935,-0.011617907989334,-0.0134231659830598,-0.00273072716202247,0.922060287958588,0.107530021119432,0.0781573259044247,0.0573954454710841,-0.00459369394944144,-0.00843946920806964,0.0227173731429666,0.490523587729399,0.142552546949678,-0.00183006210980364,-0.00918600387670603,0.10461276520782,0.750403173832987,0.073451359836294,-0.00306444358535547,-0.00860217436012061,0.0261378006089244,0.0526246211849485,0.0610742022754947,-0.0038265686220468,-0.00820215391402939,0.00712491589314996,0.175572620965777,0.111821338114318,-0.00277744911484967,-0.00878965138394136,0.0852733380454121,0.250929821297497,0.0387265638192088,-0.00455295782647243,-0.00758808020128234,0.0243216072091411,-0.00950766629590532,0.0515383296117691,-0.00632668036811762,-0.0105089285053179,0.0306212795670367,0.0138631071156137,0.11513004669296,-0.00362474402459139,-0.0107809386584609,0.0759754477588915,-0.01603742433682,0.0468215363251429,-0.00304540061849205,-0.00970419643418628,0.0114142609959359,-0.0200593629206688,0.118008345122018,-0.0190810998068915,0.138742359747009,-0.0203681181667747,0.0678592346670962,0.0148586541503065
"samsunggalaxy",0.0197858228443935,1,0.36667082189171,-0.00608800441520996,0.0178986186497768,-0.0446783637791688,0.2361624448498,0.0305561602185773,0.252120594668866,0.145969110708923,-0.000400421747470064,0.0652742531360213,0.126062801039839,0.342919169896755,0.0318207534909711,-0.000979480460471691,0.222776562970828,-0.0101550994529945,0.316134351382523,0.104123475867688,0.00569131891579288,0.0729644969386852,-0.00652593921680043,0.281378596088635,0.0613598273859705,0.0102477756653372,0.0248386343445193,0.0178241295368549,0.304385445727082,0.00678582308015059,0.00564017870086671,0.188821461107629,-0.0278792235824304,0.190038399238997,0.0605561472395813,0.014660820948419,0.0717456026644583,-0.00316942929757055,0.242866387460466,0.067489248495781,0.00184619197647223,0.0882886777746227,0.045962586064877,0.303559905296085,0.00997679864360856,0.000481379794839189,0.178409743739516,-0.0173890375182376,0.184775056665627,0.0374818698349226,0.00730521083003455,0.0449278124971265,-0.00580167992366266,0.246046093150125,-0.00783935266286645,0.290974533585016,-0.0153292775222742,0.142251763317058,-0.359172760364559
"sonyxperia",-0.011617907989334,0.36667082189171,1,-0.0063498609482288,0.0236819564515763,-0.0238835535847969,-0.0182884699110272,0.00506753745956289,0.0501399940133578,0.39675061053996,-0.00423173497237717,0.0165066520394305,-0.006715050222489,-0.00430848062834771,0.345295791441219,-0.00446723292947145,-0.0122843950465073,-0.00763835908032352,0.0587766664984133,0.37663286997958,-0.00397210397967879,0.0142492203065726,-0.0181210185760085,0.0400625339588496,0.252589215800935,-0.00377222211522563,0.0032991047753146,-0.0135895980093715,0.00770607295132436,0.16328542431765,-0.00403977890337891,-0.00213768096494069,-0.0179807539798141,0.0263137613628907,0.295428493871732,-0.00323303793088158,0.010002503844969,-0.0287170337931517,0.0209140125298516,0.266141715635492,-0.00460602308671776,0.00467681782603619,-0.0287742046944548,-0.00193120004468564,0.122406708851148,-0.00469928416131489,-0.012082758237322,-0.0282204762569942,0.00800786746658403,0.151675102466077,-0.0042533121042062,-0.00488804877213334,-0.0110092386966435,-0.00846730714528394,-0.0103227104068991,-0.00856984679299192,-0.0148024105069682,-0.0079160304100396,-0.233169879664462
"nokialumina",-0.0134231659830598,-0.00608800441520996,-0.0063498609482288,1,0.000673102715928106,-0.00281939212303555,-0.00111486002401611,0.0298240730544456,0.00929865431114757,-0.00275431803492402,0.700415005470267,0.0212952462591242,0.0632452639900809,0.00954607871421699,-0.00122886041425193,0.729434120117188,0.0372556407664249,0.016237082131337,0.0409222546741481,-0.00191432757528535,0.634171457801759,0.0361240923401929,0.0283164282038039,0.0414557438699475,-0.00152814172281485,0.650252801342184,0.0105537204635205,0.0237416752374923,0.0229101893469564,-0.000643977331350891,0.69226757877055,0.0442224554452869,0.00268133698962629,0.0468960988802733,-0.00138324491683726,0.491331775253132,0.0211143865870363,0.0333454787851822,0.0174590582608871,-0.00191867940649732,0.737457150374486,0.0391126464316075,0.033735413578561,0.017354031456066,-0.000947862290889167,0.736453120578502,0.0500508027277599,0.0201971627970785,0.0352741222537972,-0.00120350222438772,0.648441414464623,0.0237567172845648,0.0307188668824002,0.00651453742736633,0.0327209185408713,0.000653467575630708,0.0528866875801864,0.00799876139795112,-0.0559617692124942
"htcphone",-0.00273072716202247,0.0178986186497768,0.0236819564515763,0.000673102715928106,1,-0.00500247140976031,0.0164983509819189,0.00695241462488392,0.0108647771575783,0.0104324754227626,0.000464609425398073,0.0231886262397239,0.0141547759614782,0.0200214210278806,0.00490893018617574,0.000191083367452692,0.0367652757134458,0.00117399793264959,0.0156438259711583,0.00984294810562975,0.000364055487632244,0.0291524951716089,0.000252573287713073,0.0131454048047117,0.00695873597988937,0.000311117544824943,0.977538003944863,0.00279630126016048,0.0201542469377248,0.00305632502550086,0.000388549469870717,0.037653301416144,-0.00210838912422109,0.00941332877684899,0.00526783959906188,-6.61281622911783e-05,0.0291953131645944,0.000121360114178521,0.00971056142667623,0.00481191845372305,0.000454485187643011,0.0309092171287839,0.00428474659539937,0.017457471933277,0.00111336489816121,0.000462392340075103,0.0339417823316125,0.000194189763650802,0.0106435543732323,0.00501769982133855,0.000112210497027381,0.0214481451617726,-0.00292694651866705,0.0191864739292827,-0.0027583564357368,0.0207261367691321,-0.00266622994886823,0.0133049541410632,-0.0512848681883097
"ios",0.922060287958588,-0.0446783637791688,-0.0238835535847969,-0.00281939212303555,-0.00500247140976031,1,-0.0264036366404643,0.0421281399752907,-0.0107414078993391,-0.00936947742299492,0.00542507546269077,-0.0123897509872724,0.386966464229657,-0.0152725698176955,-0.0038538548054762,0.00465135111854623,-0.0230487872101778,0.732611710627077,-0.0123900967642653,-0.00648410847297152,0.00634138966993564,-0.0157845325162111,0.0143768878092255,-0.00990646704459804,0.00420668518076926,0.00306528046825182,-0.00574877570500653,0.113783628536374,-0.0117059582882226,0.00806276037800826,0.00343235750971489,-0.0197092424270327,0.218834873919818,-0.00595086355413591,0.000626192846472733,0.00611016542384921,-0.0126521639251253,-0.021953089524574,-0.0021308394948164,-0.00409065770115176,0.00226059342956281,-0.0181673562694781,-0.0125664930533085,-0.00716796311699184,-0.00290237601863603,0.00232157592838237,-0.0215760696041489,-0.0154819149876403,-0.00477034744227993,-0.00483171423143047,0.00503024397951928,-0.011929587434083,0.11827832713418,-0.0164015981348673,0.112329768372251,-0.0180284915032987,0.117034966758936,-0.0102331139919214,0.00165641745562593
"googleandroid",0.107530021119432,0.2361624448498,-0.0182884699110272,-0.00111486002401611,0.0164983509819189,-0.0264036366404643,1,0.104419787902857,0.315487420787091,-0.0002056770121231,0.00328449534657361,0.14809485174443,0.391802161604143,0.711402607605801,0.0135394517586832,-0.00182386254230897,0.562702861177674,0.0429551471687666,0.391432853147174,-0.00657774105368546,0.000325262262521684,0.166181848927567,0.0669526940278199,0.316132023330319,-0.00166899721841537,-0.00417353239881606,0.0575517863104719,0.121820615104059,0.542439640039179,0.000215434605598181,-0.0044695533885064,0.447012793736,0.0177913686867249,0.188924347922269,-0.00475291010496255,-0.00357698675713544,0.147068090383246,0.106060624944251,0.270354936816207,0.000835653306900731,-0.00229994161845167,0.209414191586224,0.212525141599394,0.558089938624285,0.00565657375597444,-0.00322591700615547,0.433411366689692,0.0566763832142221,0.221725966774914,-0.00413530374412377,-0.00140660391909203,0.109685141985585,-0.0167016725513641,0.638580744566268,-0.0158253040418229,0.716514774173009,-0.0163771744993632,0.371998470151108,-0.189142049910485
"iphonecampos",0.0781573259044247,0.0305561602185773,0.00506753745956289,0.0298240730544456,0.00695241462488392,0.0421281399752907,0.104419787902857,1,0.0624383751141807,0.0450085548321542,0.0308169398882385,0.62391194848557,0.541339970186198,0.117450549261792,0.0199942953450645,0.0268554798393214,0.206584692503409,0.473266316424556,0.0769431989420618,0.029397326541908,0.0212773076853294,0.321523039398073,0.272586547391076,0.0604760389179806,0.0177490834448736,0.0263172760246373,0.0674289905440626,0.148650673651596,0.089812938188313,0.00288440281296316,0.0263065714965081,0.11010169032062,0.188310034823292,0.035791405119354,0.0194031752951104,0.00960830397426228,0.156063062590344,0.348332415604036,0.0452212666492955,0.0139443738324922,0.0211775526536477,0.287084654966834,0.151918628672409,0.0920300292389242,0.00703403005569897,0.0179871948596812,0.109391574660317,0.187259620458674,0.0401543697516683,0.0199870203414884,0.0148265303850058,0.0672830706019526,-0.00399107591824237,0.117901901408568,-0.00705983991260173,0.124354761068203,-0.00103709361709049,0.0730039140995017,-0.0297312168314041
"samsungcampos",0.0573954454710841,0.252120594668866,0.0501399940133578,0.00929865431114757,0.0108647771575783,-0.0107414078993391,0.315487420787091,0.0624383751141807,1,0.145429113813103,0.0148603600271513,0.0900990596589843,0.206019549683385,0.608840259730333,0.0539848376504751,0.0143682706229768,0.295428413873069,0.0288754321120457,0.814799292919505,0.0988362177838041,0.0283225788977534,0.104495331584599,0.0394271338738212,0.643691775333074,0.0581222271996247,0.038370715511992,0.0329234763073746,0.0652788327473669,0.487871125195372,0.0112361693442946,0.0284542423794258,0.238425393704295,0.0123126697760563,0.389689452693146,0.0676677208608839,0.0468115176107042,0.0867664616737531,0.0562722587493645,0.79389853119055,0.0473952698448282,0.0215811647750254,0.115131848905981,0.112507526806894,0.546669518983079,0.0193656987808382,0.0186961477201489,0.231171523716441,0.0318446754260748,0.487766616794078,0.0578600356372088,0.0331966500648301,0.0613038311790207,0.102471443748529,0.298281303734581,0.0756948356378856,0.357362406467834,0.044889714542436,0.159171496270879,-0.112743310994937
"sonycampos",-0.00459369394944144,0.145969110708923,0.39675061053996,-0.00275431803492402,0.0104324754227626,-0.00936947742299492,-0.0002056770121231,0.0450085548321542,0.145429113813103,1,-0.00183555892774129,0.0588521343088421,0.0132540775016133,0.0328972382573323,0.408990573621207,-0.00193770860876595,0.0135680903168259,0.0164423916926169,0.164043119775096,0.52845231382347,-0.0017229412922616,0.0565744432238212,0.0196168049285335,0.111287385265793,0.404993025309872,-0.00163624046076211,0.0164571511947497,0.00671676267249897,0.0589324385019146,0.131891911781579,-0.00175229599221158,0.0376238338145324,0.00738358103605763,0.0894889682270862,0.388803630369855,-0.00140236372941433,0.0550554694878069,0.00915225686786064,0.0469225922653464,0.387310835622835,-0.00199791027873797,0.0213259276391556,0.006280324669102,0.0341489117923012,0.182829434938235,-0.00203836323697022,0.00901335709981599,0.00817617870442859,0.0534363627178804,0.378811803285561,-0.00184491823242893,0.0157814463865337,-0.00311824553665071,0.00667266587269936,-0.00286326789867131,0.00845455960386811,-0.00642069905972724,-0.0034336602803028,-0.0906650896386654
