"","iphonesentiment"
"iphone",0.0148586541503065
"samsunggalaxy",-0.359172760364559
"sonyxperia",-0.233169879664462
"nokialumina",-0.0559617692124942
"htcphone",-0.0512848681883097
"ios",0.00165641745562593
"googleandroid",-0.189142049910485
"iphonecampos",-0.0297312168314041
"samsungcampos",-0.112743310994937
"sonycampos",-0.0906650896386654
"nokiacampos",-0.0333745609027729
"htccampos",-0.120434115416741
"iphonecamneg",-0.0839631390702271
"samsungcamneg",-0.185988856949196
"sonycamneg",-0.0248264033420153
"nokiacamneg",-0.0330694691454369
"htccamneg",-0.222972178228517
"iphonecamunc",0.00144348478162605
"samsungcamunc",-0.138045912198857
"sonycamunc",-0.050326853652435
"nokiacamunc",-0.0315497295041816
"htccamunc",-0.148881468172512
"iphonedispos",0.0145468235286553
"samsungdispos",-0.0992620589457874
"sonydispos",-0.038635302804585
"nokiadispos",-0.0259223779848846
"htcdispos",-0.0604057929008925
"iphonedisneg",0.00314490536998923
"samsungdisneg",-0.13996472074515
"sonydisneg",-0.0199561100072817
"nokiadisneg",-0.0287585883315796
"htcdisneg",-0.19272726671685
"iphonedisunc",0.0271727228898727
"samsungdisunc",-0.0595482671240417
"sonydisunc",-0.0321371542845916
"nokiadisunc",-0.0239719883700952
"htcdisunc",-0.132952797115008
"iphoneperpos",0.0296378998759708
"samsungperpos",-0.0810631851993509
"sonyperpos",-0.0389127438438044
"nokiaperpos",-0.0415946125045
"htcperpos",-0.178427038192406
"iphoneperneg",-0.00480405801418506
"samsungperneg",-0.138656977430783
"sonyperneg",-0.0308500902571821
"nokiaperneg",-0.04421938571808
"htcperneg",-0.209196045898535
"iphoneperunc",0.0371998589547378
"samsungperunc",-0.0579196162750586
"sonyperunc",-0.0180840316661874
"nokiaperunc",-0.0361668072926425
"htcperunc",-0.114171252139791
"iosperpos",-0.0157579782099628
"googleperpos",-0.137261490987205
"iosperneg",-0.0101793126469807
"googleperneg",-0.163919083701455
"iosperunc",-0.0117874279804776
"googleperunc",-0.070284159297604
"iphonesentiment",1
