"","0","1","2","3","4","5"
"Sensitivity",0.63265306122449,0,0.132352941176471,0.648876404494382,0.308584686774942,0.980548187444739
"Specificity",0.989703210175651,0.999734958918632,0.99706979222163,0.997736276174307,0.992483376698468,0.485257985257985
"Pos Pred Value",0.916256157635468,0,0.620689655172415,0.966527196652719,0.836477987421383,0.725785340314136
"Neg Pred Value",0.938002296211252,0.969915145281563,0.969437969437969,0.965762804711038,0.920128651835969,0.947242206235012
"Precision",0.916256157635468,0,0.620689655172414,0.96652719665272,0.836477987421384,0.725785340314136
"Recall",0.63265306122449,0,0.132352941176471,0.648876404494382,0.308584686774942,0.980548187444739
"F1",0.748490945674044,NA,0.218181818181818,0.776470588235294,0.450847457627119,0.834148176006017
"Prevalence",0.151156812339332,0.0300771208226221,0.0349614395886889,0.0915167095115681,0.110796915167095,0.581491002570694
"Detection Rate",0.0956298200514139,0,0.00462724935732648,0.0593830334190231,0.0341902313624679,0.570179948586118
"Detection Prevalence",0.104370179948586,0.00025706940874036,0.00745501285347044,0.061439588688946,0.0408740359897172,0.78560411311054
"Balanced Accuracy",0.81117813570007,0.499867479459316,0.56471136669905,0.823306340334344,0.650534031736705,0.732903086351362
