"","1","2","3","4"
"Sensitivity",0.970212765957447,0.970588235294118,0.980337078651685,0.992202005198663
"Specificity",0.995290423861852,0.998934469898775,0.99490662139219,0.986633249791145
"Pos Pred Value",0.978540772532189,0.970588235294118,0.950953678474114,0.994047619047619
"Neg Pred Value",0.99341899091194,0.998934469898775,0.998013057053648,0.982529118136439
"Precision",0.978540772532189,0.970588235294118,0.950953678474114,0.994047619047619
"Recall",0.970212765957447,0.970588235294118,0.980337078651685,0.992202005198663
"F1",0.974358974358974,0.970588235294118,0.965421853388658,0.993123954655269
"Prevalence",0.181233933161954,0.0349614395886889,0.0915167095115681,0.692287917737789
"Detection Rate",0.175835475578406,0.0339331619537275,0.0897172236503856,0.686889460154242
"Detection Prevalence",0.179691516709512,0.0349614395886889,0.0943444730077121,0.691002570694087
"Balanced Accuracy",0.98275159490965,0.984761352596446,0.987621850021938,0.989417627494904
