Age,Material,Deterioration,Water_Pillars,Traffic_Volume,Major_Repairs,Bridge_Action
63,Wood,4,1,3,1,Monitor
35,Wood,29,0,5,2,Schedule Repair/Replacement
22,Steel,8,1,4,5,Monitor
42,Concrete,28,1,1,2,Schedule Assessment
40,Wood,1,0,3,1,Schedule Assessment
37,Wood,55,1,5,1,Schedule Repair/Replacement
48,Steel,7,1,5,2,Monitor
19,Steel,29,1,3,1,Monitor
18,Steel,45,1,3,3,Monitor
18,Steel,12,1,1,2,Monitor
23,Concrete,19,0,4,1,Monitor
43,Concrete,40,1,5,1,Schedule Repair/Replacement
34,Concrete,61,0,4,2,Schedule Repair/Replacement
32,Concrete,28,1,5,1,Schedule Assessment
35,Steel,13,1,5,2,Monitor
50,Wood,11,0,5,2,Monitor
30,Wood,34,1,5,1,Schedule Repair/Replacement
25,Concrete,35,1,3,3,Monitor
42,Wood,4,1,5,3,Monitor
52,Concrete,4,0,4,1,Monitor
55,Concrete,29,1,2,1,Schedule Assessment
29,Wood,48,1,1,1,Schedule Assessment
37,Concrete,27,0,4,1,Schedule Assessment
45,Wood,20,1,3,2,Schedule Assessment
49,Wood,55,1,5,3,Schedule Repair/Replacement
49,Wood,35,0,1,6,Schedule Assessment
54,Wood,11,1,3,6,Monitor
16,Steel,39,1,1,3,Monitor
22,Steel,45,0,3,2,Monitor
53,Concrete,4,1,5,1,Monitor
49,Concrete,4,1,5,1,Monitor
50,Wood,5,1,3,6,Monitor
36,Wood,8,1,4,2,Monitor
35,Concrete,11,0,4,1,Monitor
17,Wood,39,1,1,2,Monitor
22,Steel,54,1,4,3,Schedule Repair/Replacement
25,Concrete,3,1,4,2,Monitor
23,Steel,29,1,4,2,Monitor
40,Concrete,63,1,4,1,Immediate Repair/Replacement
18,Steel,29,1,3,5,Monitor
22,Wood,29,1,3,5,Monitor
22,Wood,15,1,3,2,Monitor
42,Concrete,48,0,5,1,Schedule Repair/Replacement
46,Concrete,20,1,5,6,Monitor
39,Concrete,35,1,3,1,Schedule Repair/Replacement
29,Wood,8,0,4,5,Monitor
24,Concrete,4,1,3,1,Monitor
31,Wood,43,1,4,2,Schedule Assessment
19,Steel,55,1,3,1,Schedule Repair/Replacement
39,Steel,25,1,4,1,Monitor
22,Concrete,40,1,3,2,Monitor
56,Concrete,61,0,2,1,Schedule Repair/Replacement
25,Wood,11,1,4,1,Monitor
51,Wood,11,1,5,3,Schedule Assessment
29,Concrete,36,0,5,1,Schedule Assessment
40,Concrete,4,0,4,1,Monitor
18,Steel,29,0,1,1,Monitor
54,Wood,40,0,5,1,Schedule Repair/Replacement
27,Wood,40,0,4,2,Schedule Assessment
49,Wood,50,0,3,1,Schedule Assessment
27,Steel,58,1,3,2,Schedule Repair/Replacement
36,Concrete,101,1,5,1,Immediate Repair/Replacement
39,Wood,33,0,5,1,Schedule Repair/Replacement
41,Concrete,24,0,3,6,Monitor
23,Wood,43,1,4,1,Monitor
42,Wood,37,1,3,2,Schedule Assessment
54,Wood,20,1,4,1,Schedule Assessment
26,Wood,51,1,1,6,Monitor
17,Steel,35,0,3,3,Monitor
20,Steel,32,1,3,1,Schedule Assessment
45,Wood,34,1,4,2,Schedule Assessment
63,Concrete,40,1,2,1,Schedule Repair/Replacement
25,Wood,8,1,5,1,Monitor
42,Wood,27,0,4,1,Schedule Assessment
17,Steel,40,1,1,6,Monitor
33,Wood,4,1,4,6,Monitor
24,Wood,8,1,5,4,Monitor
19,Steel,4,0,3,6,Monitor
40,Wood,8,1,5,1,Monitor
28,Concrete,40,1,4,2,Schedule Repair/Replacement
35,Concrete,69,1,3,1,Schedule Repair/Replacement
37,Steel,32,1,1,1,Schedule Assessment
42,Steel,12,0,5,1,Monitor
24,Concrete,18,1,4,2,Monitor
18,Wood,8,1,3,3,Monitor
18,Steel,25,0,3,1,Monitor
24,Wood,35,0,4,2,Monitor
17,Steel,3,0,1,1,Monitor
22,Steel,57,1,3,1,Schedule Repair/Replacement
40,Wood,30,1,4,1,Schedule Assessment
50,Wood,19,1,4,1,Schedule Assessment
29,Wood,33,0,4,1,Schedule Assessment
21,Concrete,36,1,1,2,Monitor
46,Wood,103,1,5,1,Immediate Repair/Replacement
44,Concrete,5,1,4,1,Monitor
31,Concrete,8,0,4,2,Monitor
35,Concrete,39,0,4,2,Schedule Repair/Replacement
22,Wood,17,1,5,2,Monitor
52,Concrete,35,1,2,6,Schedule Repair/Replacement
34,Concrete,48,1,4,1,Immediate Repair/Replacement
22,Steel,66,0,3,1,Monitor
20,Steel,29,1,3,1,Monitor
63,Wood,50,1,5,1,Schedule Repair/Replacement
44,Wood,42,1,5,1,Schedule Repair/Replacement
24,Wood,94,1,5,2,Immediate Repair/Replacement
62,Steel,4,0,3,1,Monitor
20,Steel,7,0,3,1,Monitor
33,Concrete,4,0,5,0,Monitor
26,Wood,40,1,1,1,Monitor
39,Concrete,13,1,5,2,Monitor
24,Wood,48,0,4,1,Schedule Assessment
40,Steel,35,1,5,1,Schedule Repair/Replacement
55,Wood,29,1,3,1,Schedule Assessment
46,Wood,45,1,5,1,Schedule Repair/Replacement
18,Steel,8,0,3,2,Monitor
52,Wood,11,0,5,1,Monitor
29,Concrete,55,0,5,2,Schedule Repair/Replacement
23,Steel,38,1,3,3,Monitor
29,Wood,19,1,1,2,Monitor
22,Steel,45,0,3,6,Monitor
31,Wood,39,1,4,1,Schedule Assessment
38,Concrete,29,0,5,2,Schedule Assessment
20,Steel,59,1,3,2,Schedule Repair/Replacement
39,Concrete,32,1,3,1,Schedule Repair/Replacement
55,Steel,30,1,5,1,Schedule Assessment
44,Wood,48,0,4,1,Schedule Repair/Replacement
22,Steel,45,0,4,6,Monitor
49,Concrete,70,1,5,1,Immediate Repair/Replacement
21,Wood,54,1,3,6,Immediate Repair/Replacement
30,Concrete,89,1,4,1,Immediate Repair/Replacement
16,Steel,18,1,1,1,Monitor
20,Wood,99,0,1,4,Schedule Assessment
44,Steel,25,0,5,5,Monitor
47,Wood,35,1,3,2,Schedule Assessment
16,Steel,14,0,1,2,Monitor
30,Concrete,32,1,3,1,Schedule Repair/Replacement
28,Wood,59,1,5,2,Schedule Repair/Replacement
16,Steel,17,0,1,2,Monitor
30,Wood,8,1,4,1,Monitor
33,Concrete,8,1,3,1,Monitor
65,Concrete,29,0,5,1,Schedule Assessment
21,Steel,50,1,1,2,Monitor
33,Wood,25,0,5,3,Schedule Assessment
