"","name.of.car","speed.of.car","distance.of.car","fit"
"1","Ford",4,2,-14.9541490857947
"2","Jeep",4,4,-14.9541490857947
"6","BMW",9,16,10.4132911392405
"16","GMC",13,26,30.7072433192686
"18","Chrysler",13,28,30.7072433192686
"20","Acura",14,32,35.7807313642756
"22","Chevrolet",14,34,35.7807313642756
"23","Buick",14,34,35.7807313642756
"34","Land Rover",18,52,56.0746835443038
"35","Lexus",18,54,56.0746835443038
"38","Nissan",19,56,61.1481715893108
"39","GMC",20,60,66.2216596343178
"44","Audi",22,76,76.3686357243319
"46","Buick",24,84,86.515611814346
"47","Jeep",24,85,86.515611814346
